"PARENT COMPANY","year","GHG"
"CITY OF MESA","2016",6167
"CITY OF MESA","2017",6211
"CITY OF MESA","2018",6357
"CITY OF MESA","2019",6404
"CITY OF MESA","2020",6647
"CITY OF MESA","2021",6777
"CITY OF MESA ARIZONA","2022",6948
"CITY OF MIDLAND MICHIGAN","2015",187687
"CITY OF MIDLAND MICHIGAN","2016",180984
"CITY OF MIDLAND MICHIGAN","2017",172307
"CITY OF MIDLAND MICHIGAN","2018",155014
"CITY OF MIDLAND MICHIGAN","2019",153880
"CITY OF MIDLAND MICHIGAN","2020",144480
"CITY OF MIDLAND MICHIGAN","2021",145669
"CITY OF MIDLAND MICHIGAN","2022",154775
"CITY OF MIDLAND TEXAS","2015",89360
"CITY OF MIDLAND TEXAS","2016",95494
"CITY OF MIDLAND TEXAS","2017",99949
"CITY OF MIDLAND TEXAS","2018",104905
"CITY OF MIDLAND TEXAS","2019",110904
"CITY OF MIDLAND TEXAS","2020",118491
"CITY OF MIDLAND TEXAS","2021",124222
"CITY OF MIDLAND TEXAS TEXAS","2022",129419
"CITY OF MODESTO","2015",12213.5
"CITY OF MODESTO","2016",1956.5
"CITY OF MODESTO","2017",1749
"CITY OF MODESTO","2018",1531.5
"CITY OF MODESTO","2019",5475.5
"CITY OF MODESTO","2020",5463.5
"CITY OF MODESTO","2021",6079.5
"CITY OF MODESTO CALIFORNIA","2022",7032.5
"CITY OF MONTGOMERY","2015",124946
"CITY OF MONTGOMERY","2016",134608
"CITY OF MONTGOMERY","2017",111884
"CITY OF MONTGOMERY","2018",136494
"CITY OF MONTGOMERY","2019",144879
"CITY OF MONTGOMERY","2020",143634
"CITY OF MONTGOMERY","2021",132151
"CITY OF MONTGOMERY ALABAMA","2022",132052
"CITY OF MORGAN CITY","2015",3708
"CITY OF MORRILTON AR","2015",30320
"CITY OF MORRILTON AR","2016",31920
"CITY OF MORRILTON AR","2017",33416
"CITY OF MORRILTON AR","2018",35079
"CITY OF MORRILTON AR","2019",36836
"CITY OF MORRILTON AR","2020",39632
"CITY OF MORRILTON AR","2021",42349
"CITY OF MORRILTON ARKANSAS","2022",45699
"CITY OF MORRIS ILLINOIS","2015",51666
"CITY OF MORRIS ILLINOIS","2016",49740
"CITY OF MORRIS ILLINOIS","2017",47885
"CITY OF MORRIS ILLINOIS","2018",46100
"CITY OF MORRIS ILLINOIS","2019",44381
"CITY OF MORRIS ILLINOIS","2020",42726
"CITY OF MORRIS ILLINOIS","2021",41133
"CITY OF MORRIS ILLINOIS","2022",39599
"CITY OF MOUNTAIN VIEW","2014",19687
"CITY OF MOUNTAIN VIEW","2015",19189
"CITY OF MOUNTAIN VIEW","2016",16405
"CITY OF MOUNTAIN VIEW","2017",16773
"CITY OF MOUNTAIN VIEW","2018",17235
"CITY OF MT PLEASANT","2015",47877
"CITY OF MT PLEASANT","2016",38045
"CITY OF MT PLEASANT","2017",55821
"CITY OF MT PLEASANT","2018",41348
"CITY OF MT PLEASANT","2019",64822
"CITY OF MT PLEASANT","2020",59141
"CITY OF MT PLEASANT","2021",55758
"CITY OF MT PLEASANT","2022",47795
"CITY OF MURRAY","2015",1224
"CITY OF MURRAY","2016",1272
"CITY OF MURRAY","2017",1312
"CITY OF MURRAY","2018",1344
"CITY OF MURRAY","2019",1364
"CITY OF MURRAY","2020",1400
"CITY OF MURRAY","2021",1413
"CITY OF MURRAY KENTUCKY","2022",1244
"CITY OF NACOGDOCHES","2015",60108
"CITY OF NACOGDOCHES","2016",61119
"CITY OF NACOGDOCHES","2017",62460
"CITY OF NACOGDOCHES","2018",63523
"CITY OF NACOGDOCHES","2019",64583
"CITY OF NACOGDOCHES","2020",66443
"CITY OF NACOGDOCHES","2021",67304
"CITY OF NACOGDOCHES","2022",69033
"CITY OF NASHUA DEPARTMENT OF PUBLIC WORKS","2015",88301
"CITY OF NASHUA DEPARTMENT OF PUBLIC WORKS","2016",83370
"CITY OF NASHUA DEPARTMENT OF PUBLIC WORKS","2017",73975
"CITY OF NASHUA DEPARTMENT OF PUBLIC WORKS","2018",70133
"CITY OF NASHUA DEPARTMENT OF PUBLIC WORKS","2019",74860
"CITY OF NASHUA DEPARTMENT OF PUBLIC WORKS","2020",71560
"CITY OF NASHUA DEPARTMENT OF PUBLIC WORKS","2021",78196
"CITY OF NASHUA DEPARTMENT OF PUBLIC WORKS","2022",10448
"CITY OF NEW YORK","2019",63942
"CITY OF NEW YORK","2020",57796
"CITY OF NEW YORK","2021",124120
"CITY OF NEW YORK DEPARTMENT OF SANITATION (DSNY)","2015",68719
"CITY OF NEW YORK DEPARTMENT OF SANITATION (DSNY)","2016",87156
"CITY OF NEW YORK DEPARTMENT OF SANITATION (DSNY)","2017",78101
"CITY OF NEW YORK DEPARTMENT OF SANITATION (DSNY)","2018",73302
"CITY OF NEW YORK NEW YORK","2022",146120
"CITY OF NEWTON IOWA","2022",27005
"CITY OF NORTHAMPTON MASSACHUSETTS","2015",51678
"CITY OF NORTHAMPTON MASSACHUSETTS","2016",53492
"CITY OF NORTHAMPTON MASSACHUSETTS","2017",39393
"CITY OF NORTHAMPTON MASSACHUSETTS","2018",27699
"CITY OF NORTHAMPTON MASSACHUSETTS","2019",21835
"CITY OF NORTHAMPTON MASSACHUSETTS","2020",20594
"CITY OF NORTHAMPTON MASSACHUSETTS","2021",16952
"CITY OF NORTHAMPTON MASSACHUSETTS","2022",16172
"CITY OF NORWICH CONNECTICUT","2022",1849
"CITY OF NORWICH CT","2015",3016
"CITY OF NORWICH CT","2016",2736
"CITY OF NORWICH CT","2017",2728
"CITY OF NORWICH CT","2018",2434
"CITY OF NORWICH CT","2019",2219
"CITY OF NORWICH CT","2020",2148
"CITY OF NORWICH CT","2021",2007
"CITY OF OKMULGEE OKLAHOMA","2015",29934
"CITY OF OKMULGEE OKLAHOMA","2016",29764
"CITY OF OKMULGEE OKLAHOMA","2017",29919
"CITY OF OKMULGEE OKLAHOMA","2018",30223
"CITY OF OKMULGEE OKLAHOMA","2019",30499
"CITY OF OKMULGEE OKLAHOMA","2020",30910
"CITY OF OKMULGEE OKLAHOMA","2021",31399
"CITY OF OKMULGEE OKLAHOMA","2022",31979
"CITY OF ORLANDO","2015",356918.1
"CITY OF ORLANDO","2016",332259.025
"CITY OF ORLANDO","2017",352544.515
"CITY OF ORLANDO","2018",419509.344
"CITY OF ORLANDO","2019",294729.616
"CITY OF ORLANDO","2020",239456.826
"CITY OF ORLANDO","2021",205700.56
"CITY OF ORRVILLE","2015",310659
"CITY OF ORRVILLE","2016",269131
"CITY OF ORRVILLE","2017",83158
"CITY OF ORRVILLE","2018",36301
"CITY OF ORRVILLE","2019",22436
"CITY OF ORRVILLE","2020",38912
"CITY OF ORRVILLE","2021",35505
"CITY OF ORRVILLE OHIO","2022",44618
"CITY OF OXNARD","2015",14403.84
"CITY OF OXNARD","2016",1164.57
"CITY OF OXNARD","2017",1015.08
"CITY OF OXNARD","2018",968.55
"CITY OF OXNARD","2019",1410.42
"CITY OF OXNARD","2020",1066.56
"CITY OF OXNARD","2021",1308.45
"CITY OF OXNARD","2022",1815
"CITY OF PAINESVILLE","2015",14131
"CITY OF PAINESVILLE","2016",15867
"CITY OF PAINESVILLE","2017",5181
"CITY OF PAINESVILLE","2018",5718
"CITY OF PAINESVILLE","2019",4810
"CITY OF PAINESVILLE","2020",2969
"CITY OF PAINESVILLE","2021",1756
"CITY OF PAINESVILLE OHIO","2022",904
"CITY OF PALO ALTO","2016",4179
"CITY OF PALO ALTO","2017",3890
"CITY OF PALO ALTO","2018",4929
"CITY OF PALO ALTO","2019",1927
"CITY OF PALO ALTO","2020",1096
"CITY OF PALO ALTO","2021",1091
"CITY OF PALO ALTO CALIFORNIA","2022",987
"CITY OF PAMPA","2015",23376
"CITY OF PAMPA","2016",24319
"CITY OF PAMPA","2017",25391
"CITY OF PAMPA","2018",26364
"CITY OF PAMPA","2019",27274
"CITY OF PAMPA","2020",28024
"CITY OF PAMPA","2021",28832
"CITY OF PAMPA TEXAS","2022",29598
"CITY OF PASADENA","2015",35368
"CITY OF PASADENA","2016",45942
"CITY OF PASADENA","2017",46172
"CITY OF PASADENA","2018",42985
"CITY OF PASADENA","2019",35542
"CITY OF PASADENA","2020",31051
"CITY OF PASADENA","2021",11908
"CITY OF PASADENA CALIFORNIA","2022",29052
"CITY OF PENSACOLA","2015",48744
"CITY OF PENSACOLA","2016",46803
"CITY OF PENSACOLA","2017",44673
"CITY OF PENSACOLA","2018",42847
"CITY OF PENSACOLA","2019",37363
"CITY OF PENSACOLA","2020",36476
"CITY OF PENSACOLA","2021",35470
"CITY OF PENSACOLA FLORIDA","2022",35286
"CITY OF PERRYVILLE","2021",545
"CITY OF PERRYVILLE MISSOURI","2022",545
"CITY OF PHOENIX","2015",204585
"CITY OF PHOENIX","2016",225630
"CITY OF PHOENIX","2017",232373
"CITY OF PHOENIX","2018",236231
"CITY OF PHOENIX","2019",229579
"CITY OF PHOENIX","2020",84928
"CITY OF PHOENIX","2021",89918
"CITY OF PHOENIX ARIZONA","2022",223775
"CITY OF PONCA CITY","2015",41837
"CITY OF PONCA CITY","2016",42037
"CITY OF PONCA CITY","2017",43374
"CITY OF PONCA CITY","2018",44569
"CITY OF PONCA CITY","2019",45570
"CITY OF PONCA CITY","2020",38555
"CITY OF PONCA CITY","2021",38825
"CITY OF PONCA CITY OKLAHOMA","2022",39392
"CITY OF PORT ARTHUR","2015",142260
"CITY OF PORT ARTHUR","2016",120553
"CITY OF PORT ARTHUR","2017",121434
"CITY OF PORT ARTHUR","2018",125772
"CITY OF PORT ARTHUR","2019",127286
"CITY OF PORT ARTHUR","2020",129259
"CITY OF PORT ARTHUR","2021",132838
"CITY OF PORT ARTHUR","2022",134271
"CITY OF RALEIGH","2015",19496
"CITY OF RALEIGH","2016",11799
"CITY OF RALEIGH","2017",13654
"CITY OF RALEIGH","2018",12099
"CITY OF RAPID CITY","2015",36596
"CITY OF RAPID CITY","2016",45643
"CITY OF RAPID CITY","2017",33880
"CITY OF RAPID CITY","2018",36761
"CITY OF RAPID CITY","2019",39494
"CITY OF RAPID CITY","2020",41993
"CITY OF RAPID CITY","2021",44576
"CITY OF RAPID CITY SOUTH DAKOTA","2022",47292
"CITY OF REDDING","2015",132180
"CITY OF REDDING","2016",141787
"CITY OF REDDING","2017",89626
"CITY OF REDDING","2018",112186
"CITY OF REDDING","2019",105927
"CITY OF REDDING","2020",151533
"CITY OF REDDING","2021",171017
"CITY OF REDDING CALIFORNIA","2022",194043
"CITY OF REDLANDS MUNICIPAL UTILITIE DEPARTMENT","2015",40591
"CITY OF REDLANDS MUNICIPAL UTILITIE DEPARTMENT","2016",14204
"CITY OF REDLANDS MUNICIPAL UTILITIE DEPARTMENT","2017",545
"CITY OF REDLANDS MUNICIPAL UTILITIES DEPARTMENT","2018",9542
"CITY OF REDLANDS MUNICIPAL UTILITIES DEPARTMENT","2019",22130
"CITY OF REDLANDS MUNICIPAL UTILITIES DEPARTMENT","2020",6442
"CITY OF REDLANDS MUNICIPAL UTILITIES DEPARTMENT","2021",7000
"CITY OF REDLANDS MUNICIPAL UTILITIES DEPARTMENT","2022",6558
"CITY OF RENSSELAER GAS UTILITY","2014",376
"CITY OF RENSSELAER GAS UTILITY","2015",38
"CITY OF RENSSELAER GAS UTILITY","2016",373
"CITY OF RENSSELAER GAS UTILITY","2017",405
"CITY OF RENSSELAER GAS UTILITY","2018",405
"CITY OF RENSSELAER GAS UTILITY","2019",410
"CITY OF RENSSELAER GAS UTILITY","2020",410
"CITY OF RENSSELAER GAS UTILITY","2021",410
"CITY OF RENSSELAER GAS UTILITY","2022",421
"CITY OF RICHLAND WASHINGTON","2015",26870
"CITY OF RICHLAND WASHINGTON","2016",26021
"CITY OF RICHLAND WASHINGTON","2017",18036
"CITY OF RICHLAND WASHINGTON","2018",24475
"CITY OF RICHLAND WASHINGTON","2019",24156
"CITY OF RICHLAND WASHINGTON","2020",27329
"CITY OF RICHLAND WASHINGTON","2021",44472
"CITY OF RICHLAND WASHINGTON","2022",39372
"CITY OF RICHMOND","2015",31983
"CITY OF RICHMOND","2016",30147
"CITY OF RICHMOND","2017",29065
"CITY OF RICHMOND","2018",28411
"CITY OF RICHMOND","2019",27001
"CITY OF RICHMOND","2020",26231
"CITY OF RICHMOND","2021",25527
"CITY OF RICHMOND VIRGINIA","2022",25223
"CITY OF RIVERSIDE PUBLIC UTILITY","2015",28991
"CITY OF RIVERSIDE PUBLIC UTILITY","2016",39387
"CITY OF RIVERSIDE PUBLIC UTILITY","2017",54419
"CITY OF RIVERSIDE PUBLIC UTILITY","2018",50784
"CITY OF RIVERSIDE PUBLIC UTILITY","2019",45021
"CITY OF RIVERSIDE PUBLIC UTILITY","2020",56551
"CITY OF RIVERSIDE PUBLIC UTILITY","2021",31762
"CITY OF RIVERSIDE PUBLIC UTILITY","2022",46178
"CITY OF RIVERVIEW","2015",237791
"CITY OF RIVERVIEW","2016",277989
"CITY OF RIVERVIEW","2017",232590
"CITY OF RIVERVIEW","2018",288394
"CITY OF RIVERVIEW","2019",261268
"CITY OF RIVERVIEW","2020",147573
"CITY OF RIVERVIEW","2021",204739
"CITY OF RIVERVIEW MICHIGAN","2022",247925
"CITY OF SALINA","2015",75448
"CITY OF SALINA","2016",76135
"CITY OF SALINA","2017",76900
"CITY OF SALINA","2018",77935
"CITY OF SALINA","2019",78613
"CITY OF SALINA","2020",79292
"CITY OF SALINA","2021",80011
"CITY OF SALINA KANSAS","2022",80738
"CITY OF SALLISAW","2015",55556
"CITY OF SALLISAW","2016",62935
"CITY OF SALLISAW","2017",58563
"CITY OF SALLISAW","2018",50131
"CITY OF SALLISAW","2019",52384
"CITY OF SALLISAW","2020",65770
"CITY OF SALLISAW","2021",57190
"CITY OF SALLISAW OKLAHOMA","2022",71497
"CITY OF SAN ANGELO LANDFILL","2015",18167
"CITY OF SAN ANGELO LANDFILL","2016",11126
"CITY OF SAN ANGELO LANDFILL","2017",17694
"CITY OF SAN ANGELO LANDFILL","2018",22859
"CITY OF SAN ANGELO LANDFILL","2019",33717
"CITY OF SAN ANGELO LANDFILL","2020",17558
"CITY OF SAN ANGELO LANDFILL","2021",28389
"CITY OF SAN ANTONIO","2015",140127
"CITY OF SAN ANTONIO","2016",132207
"CITY OF SAN ANTONIO","2017",107951
"CITY OF SAN ANTONIO","2018",103206
"CITY OF SAN ANTONIO","2019",82851
"CITY OF SAN ANTONIO","2020",109930
"CITY OF SAN ANTONIO","2021",108526
"CITY OF SAN ANTONIO TEXAS","2022",112237
"CITY OF SAN DIEGO","2016",204128
"CITY OF SAN DIEGO","2017",145834
"CITY OF SAN DIEGO","2018",164581
"CITY OF SAN DIEGO","2019",157906
"CITY OF SAN DIEGO","2020",200896
"CITY OF SAN DIEGO","2021",155986
"CITY OF SAN DIEGO","2022",144754
"CITY OF SAN JOSE CA","2016",15492.75
"CITY OF SAN JOSE CA","2017",14715
"CITY OF SAN JOSE CA","2018",14937.75
"CITY OF SAN JOSE CA","2019",16424.25
"CITY OF SAN JOSE CA","2020",15558
"CITY OF SAN JOSE CA","2021",16919.25
"CITY OF SAN JOSE CALIFORNIA","2022",13869.75
"CITY OF SAN MARCOS","2015",47058.83
"CITY OF SAN MARCOS","2016",48329.33
"CITY OF SAN MARCOS","2017",46728.325
"CITY OF SAN MARCOS","2018",40232.885
"CITY OF SAN MARCOS","2019",40785.08
"CITY OF SAN MARCOS","2020",45018.96
"CITY OF SAN MARCOS","2021",42787.395
"CITY OF SAN MARCOS TEXAS","2022",39894.82
"CITY OF SANTA CLARA CA","2015",473843
"CITY OF SANTA CLARA CA","2016",499294.25
"CITY OF SANTA CLARA CA","2017",372997
"CITY OF SANTA CLARA CA","2018",466778.25
"CITY OF SANTA CLARA CA","2019",375787.75
"CITY OF SANTA CLARA CA","2020",293604
"CITY OF SANTA CLARA CA","2021",429991.75
"CITY OF SANTA CLARA CALIFORNIA","2022",375933.25
"CITY OF SANTA MARIA","2016",41176
"CITY OF SANTA MARIA","2017",7163
"CITY OF SANTA MARIA","2018",5665
"CITY OF SANTA MARIA","2019",9377
"CITY OF SANTA MARIA","2020",7875
"CITY OF SANTA MARIA","2021",6943
"CITY OF SANTA MARIA","2022",6523
"CITY OF SAVANNAH SANITATION BUREAU","2015",134715
"CITY OF SAVANNAH SANITATION BUREAU","2016",136065
"CITY OF SAVANNAH SANITATION BUREAU","2017",137414
"CITY OF SAVANNAH SANITATION BUREAU","2018",138617
"CITY OF SAVANNAH SANITATION BUREAU","2019",139478
"CITY OF SAVANNAH SANITATION BUREAU","2020",140485
"CITY OF SAVANNAH SANITATION BUREAU","2021",141321
"CITY OF SAVANNAH SANITATION BUREAU","2022",141860
"CITY OF SCOTTSBORO","2015",38319
"CITY OF SCOTTSBORO","2016",30756
"CITY OF SCOTTSBORO","2017",34037
"CITY OF SCOTTSBORO","2018",25583
"CITY OF SCOTTSBORO","2019",30249
"CITY OF SCOTTSBORO","2020",31468
"CITY OF SCOTTSBORO","2021",33921
"CITY OF SCOTTSBORO ALABAMA","2022",36296
"CITY OF SEATTLE (SEATTLE CITY LIGHT DEPARTMENT)","2015",3044
"CITY OF SEATTLE (SEATTLE CITY LIGHT DEPARTMENT)","2016",2455
"CITY OF SEATTLE (SEATTLE CITY LIGHT DEPARTMENT)","2017",1071
"CITY OF SEATTLE (SEATTLE CITY LIGHT DEPARTMENT)","2018",1125
"CITY OF SEATTLE (SEATTLE CITY LIGHT DEPARTMENT)","2019",779
"CITY OF SEATTLE (SEATTLE CITY LIGHT DEPARTMENT)","2020",52
"CITY OF SEATTLE (SEATTLE CITY LIGHT DEPARTMENT)","2021",2448
"CITY OF SEATTLE (SEATTLE CITY LIGHT DEPARTMENT)","2022",1262
"CITY OF SHREVEPORT","2015",298366
"CITY OF SHREVEPORT","2016",359194
"CITY OF SHREVEPORT","2017",266858
"CITY OF SHREVEPORT","2018",229571
"CITY OF SHREVEPORT","2019",226467
"CITY OF SHREVEPORT","2020",252279
"CITY OF SHREVEPORT","2021",272338
"CITY OF SHREVEPORT LOUISIANA","2022",127722
"CITY OF SIOUX FALLS","2015",55020
"CITY OF SIOUX FALLS","2016",50813
"CITY OF SIOUX FALLS","2017",47248
"CITY OF SIOUX FALLS","2018",30745
"CITY OF SIOUX FALLS","2019",38106
"CITY OF SIOUX FALLS","2020",30161
"CITY OF SIOUX FALLS","2021",70991
"CITY OF SIOUX FALLS SOUTH DAKOTA","2022",60842
"CITY OF SNYDER","2015",28039
"CITY OF SNYDER","2016",29178
"CITY OF SNYDER","2017",30250
"CITY OF SNYDER","2018",31165
"CITY OF SNYDER","2019",31625
"CITY OF SNYDER","2020",32118
"CITY OF SNYDER","2021",32905
"CITY OF SNYDER TEXAS","2022",33254
"CITY OF SPOKANE","2015",104514
"CITY OF SPOKANE","2016",101890
"CITY OF SPOKANE","2017",93295
"CITY OF SPOKANE","2018",94676
"CITY OF SPOKANE","2019",99879
"CITY OF SPOKANE","2020",93850
"CITY OF SPOKANE","2021",101180
"CITY OF SPOKANE WASHINGTON","2022",100463
"CITY OF SPRINGFIELD","2015",2182506
"CITY OF SPRINGFIELD","2016",1993170
"CITY OF SPRINGFIELD","2017",2642281
"CITY OF SPRINGFIELD","2018",2725582
"CITY OF SPRINGFIELD","2019",2095132
"CITY OF SPRINGFIELD","2020",887880
"CITY OF SPRINGFIELD","2021",1303178
"CITY OF SPRINGFIELD DEPARTMENT OF PUBLIC WORKS","2015",23348
"CITY OF SPRINGFIELD DEPARTMENT OF PUBLIC WORKS","2016",20240
"CITY OF SPRINGFIELD ILLINOIS","2022",1254930
"CITY OF ST GEORGE","2015",42447
"CITY OF ST GEORGE","2016",71449
"CITY OF ST GEORGE","2017",53673
"CITY OF ST GEORGE","2018",61720
"CITY OF ST GEORGE","2019",44806
"CITY OF ST GEORGE","2020",58454
"CITY OF ST GEORGE","2021",71223
"CITY OF ST GEORGE UTAH","2022",86022
"CITY OF ST JAMES","2015",34
"CITY OF ST JOSEPH","2015",52133
"CITY OF ST JOSEPH","2016",43655
"CITY OF ST JOSEPH","2017",47174
"CITY OF ST JOSEPH","2018",47419
"CITY OF ST JOSEPH","2019",45159
"CITY OF ST JOSEPH","2020",26549
"CITY OF ST JOSEPH","2021",28592
"CITY OF ST JOSEPH MISSOURI","2022",25126
"CITY OF STAUNTON","2015",26997.683
"CITY OF STAUNTON","2016",27287.8368
"CITY OF STAUNTON","2017",27648.29
"CITY OF STAUNTON","2018",28389.89
"CITY OF STAUNTON","2019",29165.995
"CITY OF STAUNTON","2020",28838.8035
"CITY OF STAUNTON","2021",20290.1933
"CITY OF STAUNTON VIRGINIA","2022",20740.8461
"CITY OF SUPERIOR WISCONSIN","2015",48195
"CITY OF SUPERIOR WISCONSIN","2016",52830
"CITY OF SUPERIOR WISCONSIN","2017",55462
"CITY OF SUPERIOR WISCONSIN","2018",64500
"CITY OF SUPERIOR WISCONSIN","2019",78559
"CITY OF SUPERIOR WISCONSIN","2020",84332
"CITY OF SUPERIOR WISCONSIN","2021",66772
"CITY OF SUPERIOR WISCONSIN","2022",65541
"CITY OF TACOMA","2015",14812
"CITY OF TACOMA","2016",14513
"CITY OF TACOMA","2017",16417
"CITY OF TACOMA","2018",12797
"CITY OF TACOMA","2019",9793
"CITY OF TACOMA","2020",11002
"CITY OF TACOMA","2021",10378
"CITY OF TACOMA WASHINGTON","2022",7798
"CITY OF TALLAHASSEE","2015",1192051
"CITY OF TALLAHASSEE","2016",1118451
"CITY OF TALLAHASSEE","2017",1122198
"CITY OF TALLAHASSEE","2018",1188857
"CITY OF TALLAHASSEE","2019",1157247
"CITY OF TALLAHASSEE","2020",1074483
"CITY OF TALLAHASSEE","2021",1101695
"CITY OF TALLAHASSEE FLORIDA","2022",1262687
"CITY OF TAMPA","2015",126686
"CITY OF TAMPA","2016",126593
"CITY OF TAMPA","2017",122967
"CITY OF TAMPA","2018",112408
"CITY OF TAMPA","2019",118568
"CITY OF TAMPA","2020",110789
"CITY OF TAMPA","2021",116622
"CITY OF TAMPA FLORIDA","2022",118228
"CITY OF THOMASVILLE","2015",28659
"CITY OF THOMASVILLE","2016",29040
"CITY OF THOMASVILLE","2017",37573
"CITY OF THOMASVILLE","2018",72095
"CITY OF THOMASVILLE","2019",77532
"CITY OF THOMASVILLE","2020",93502
"CITY OF THOMASVILLE","2021",99867
"CITY OF THOMASVILLE GEORGIA","2022",106758
"CITY OF TIFTON","2015",47032
"CITY OF TIFTON","2016",48616
"CITY OF TIFTON","2017",50366
"CITY OF TIFTON","2018",52264
"CITY OF TIFTON","2019",54097
"CITY OF TIFTON","2020",56750
"CITY OF TIFTON","2021",58891
"CITY OF TIFTON GEORGIA","2022",60943
"CITY OF TOLEDO","2015",31799
"CITY OF TOLEDO","2016",39924
"CITY OF TOLEDO","2017",32167
"CITY OF TOLEDO","2018",22771
"CITY OF TOLEDO","2019",20310
"CITY OF TOLEDO","2020",16985
"CITY OF TOLEDO","2021",14700
"CITY OF TOLEDO OHIO","2022",13899
"CITY OF TUCSON ENVIRONMENTAL SERVICES","2015",44093
"CITY OF TUCSON ENVIRONMENTAL SERVICES","2016",178536
"CITY OF TUCSON ENVIRONMENTAL SERVICES","2017",31587
"CITY OF TUSCON ENVIRONMENTAL SERVICES","2018",35614
"CITY OF TUSCON ENVIRONMENTAL SERVICES","2019",29300
"CITY OF TUSCON ENVIRONMENTAL SERVICES","2020",28765
"CITY OF TUSCON ENVIRONMENTAL SERVICES","2021",23996
"CITY OF TUSCON ENVIRONMENTAL SERVICES","2022",21443
"CITY OF TYLER","2015",95771
"CITY OF TYLER","2016",52447
"CITY OF TYLER","2017",51798
"CITY OF TYLER","2018",53383
"CITY OF TYLER","2019",46054
"CITY OF TYLER","2020",60097
"CITY OF TYLER","2021",64183
"CITY OF TYLER","2022",57393
"CITY OF UNALASKA","2015",30900
"CITY OF UNALASKA","2016",31610
"CITY OF UNALASKA","2017",38765
"CITY OF UNALASKA","2018",36601
"CITY OF UNALASKA","2019",35763
"CITY OF UNALASKA","2020",28153
"CITY OF UNALASKA","2021",30571
"CITY OF UNALASKA ALASKA","2022",28756
"CITY OF UNION","2014",4512
"CITY OF UNION","2015",2055
"CITY OF UNION","2016",1886
"CITY OF UNION","2017",1807
"CITY OF UNION","2018",1774
"CITY OF UNION","2019",1785
"CITY OF UNION","2020",1805
"CITY OF UNION","2021",1803
"CITY OF UNION SOUTH CAROLINA","2022",1803
"CITY OF VERMILLION SD","2015",24300
"CITY OF VERMILLION SD","2016",25297
"CITY OF VERMILLION SD","2017",26311
"CITY OF VERMILLION SD","2018",27705
"CITY OF VERMILLION SD","2019",28742
"CITY OF VERMILLION SD","2020",29952
"CITY OF VERMILLION SD","2021",30998
"CITY OF VERMILLION SOUTH DAKOTA","2022",31995
"CITY OF VERNON","2021",265937
"CITY OF VERNON CALIFORNIA","2022",214090
"CITY OF VICTORIA","2015",31052
"CITY OF VICTORIA","2016",13708
"CITY OF VICTORIA","2017",17869
"CITY OF VICTORIA","2018",13198
"CITY OF VICTORIA","2019",17757
"CITY OF VICTORIA","2020",13339
"CITY OF VICTORIA","2021",9656
"CITY OF VINELAND","2015",42537
"CITY OF VINELAND","2016",144139
"CITY OF VINELAND","2017",112080
"CITY OF VINELAND","2018",88466
"CITY OF VINELAND","2019",86412
"CITY OF VINELAND","2020",63428
"CITY OF VINELAND","2021",52550
"CITY OF VINELAND NEW JERSEY","2022",69328
"CITY OF VIRGINIA","2015",129901
"CITY OF VIRGINIA","2016",136382
"CITY OF VIRGINIA","2017",140079
"CITY OF VIRGINIA","2018",126489
"CITY OF VIRGINIA","2019",80930
"CITY OF VIRGINIA","2020",59905
"CITY OF VIRGINIA","2021",41747
"CITY OF VIRGINIA MINNESOTA","2022",34524
"CITY OF WACO","2015",133994
"CITY OF WACO","2016",139909
"CITY OF WACO","2017",148158
"CITY OF WACO","2018",161704
"CITY OF WACO","2019",167590
"CITY OF WACO","2020",171987
"CITY OF WACO","2021",138577
"CITY OF WACO","2022",157491
"CITY OF WATERTOWN","2015",27681
"CITY OF WATERTOWN","2016",29169
"CITY OF WATERTOWN","2017",28081
"CITY OF WATERTOWN","2018",31796
"CITY OF WATERTOWN","2019",33496
"CITY OF WATERTOWN","2020",35124
"CITY OF WATERTOWN","2021",37088
"CITY OF WATERTOWN SOUTH DAKOTA","2022",38609
"CITY OF WATSONVILLE DEPARTMENT OF PUBLIC WORKS & UTILITIES","2015",23950
"CITY OF WATSONVILLE DEPARTMENT OF PUBLIC WORKS & UTILITIES","2016",24075
"CITY OF WATSONVILLE DEPARTMENT OF PUBLIC WORKS & UTILITIES","2017",8754
"CITY OF WATSONVILLE DEPARTMENT OF PUBLIC WORKS & UTILITIES","2018",542
"CITY OF WATSONVILLE DEPARTMENT OF PUBLIC WORKS & UTILITIES","2019",12898
"CITY OF WATSONVILLE DEPARTMENT OF PUBLIC WORKS & UTILITIES","2020",1054
"CITY OF WATSONVILLE DEPARTMENT OF PUBLIC WORKS & UTILITIES","2021",816
"CITY OF WATSONVILLE DEPARTMENT OF PUBLIC WORKS & UTILITIES","2022",3677
"CITY OF WAYNESBORO","2015",22479.2852
"CITY OF WAYNESBORO","2016",23179.9904
"CITY OF WAYNESBORO","2017",23922.4816
"CITY OF WAYNESBORO","2018",24564.1456
"CITY OF WAYNESBORO","2019",25235.6648
"CITY OF WAYNESBORO","2020",26318.457
"CITY OF WAYNESBORO","2021",21731.6818
"CITY OF WAYNESBORO VIRGINIA","2022",22214.3506
"CITY OF WHITTIER","2015",52581
"CITY OF WHITTIER","2016",53237
"CITY OF WHITTIER","2017",11195
"CITY OF WHITTIER","2018",11162
"CITY OF WHITTIER","2019",10763
