"","PARENT COMPANY","year","GHG"
"7106","CITY OF WICHITA","2020",205329
"7107","CITY OF WICHITA","2021",196390
"7108","CITY OF WICHITA FALLS","2015",130012
"7109","CITY OF WICHITA FALLS","2016",132867
"7110","CITY OF WICHITA FALLS","2017",134861
"7111","CITY OF WICHITA FALLS","2018",136794
"7112","CITY OF WICHITA FALLS","2019",138376
"7113","CITY OF WICHITA FALLS","2020",141085
"7114","CITY OF WICHITA FALLS","2021",143776
"7115","CITY OF WICHITA FALLS TEXAS","2022",146800
"7116","CITY OF WICHITA KANSAS","2022",190647
"7117","CITY OF WILLMAR MINNESOTA","2015",46208
"7118","CITY OF WILLMAR MINNESOTA","2016",59024
"7119","CITY OF WILLMAR MINNESOTA","2017",54017
"7120","CITY OF WILLMAR MINNESOTA","2018",10426
"7121","CITY OF WILLMAR MINNESOTA","2019",1
"7122","CITY OF WILMINGTON","2015",23276
"7123","CITY OF WILMINGTON","2016",21986.4
"7124","CITY OF WILMINGTON","2017",20768
"7125","CITY OF WILMINGTON","2018",19617.6
"7126","CITY OF WILMINGTON","2019",18530.4
"7127","CITY OF WILMINGTON","2020",17504
"7128","CITY OF WILMINGTON","2021",16534.4
"7129","CITY OF WILMINGTON DELAWARE","2022",15618.4
"7130","CITY OF WINFIELD KS","2015",12689
"7131","CITY OF WINFIELD KS","2016",3914
"7132","CITY OF WINFIELD KS","2017",992
"7133","CITY OF WINSTON-SALEM","2016",32293
"7134","CITY OF WINSTON-SALEM","2017",31920
"7135","CITY OF WINSTON-SALEM","2018",33470
"7136","CITY OF WINSTON-SALEM","2019",54986
"7137","CITY OF WINSTON-SALEM","2020",55174
"7138","CITY OF WINSTON-SALEM","2021",40462
"7139","CITY OF WINSTON-SALEM","2022",39407
"7140","CITY PUBLIC SERVICES OF SAN ANTONIO","2021",29166
"7141","CITY PUBLIC SERVICES OF SAN ANTONIO TEXAS","2022",29522
"7142","CITY UTILITIES OF SPRINGFIELD","2015",2172955
"7143","CITY UTILITIES OF SPRINGFIELD","2016",2315939
"7144","CITY UTILITIES OF SPRINGFIELD","2017",2129769
"7145","CITY UTILITIES OF SPRINGFIELD","2018",2906865
"7146","CITY UTILITIES OF SPRINGFIELD","2019",1919485
"7147","CITY UTILITIES OF SPRINGFIELD","2020",1762047
"7148","CITY UTILITIES OF SPRINGFIELD","2021",2501315
"7149","CITY UTILITIES OF SPRINGFIELD MISSOURI","2022",2674196
"7150","CITY WATER & LIGHT OF JONESBORO","2015",374946.05
"7151","CITY WATER & LIGHT OF JONESBORO","2016",348947.3
"7152","CITY WATER & LIGHT OF JONESBORO","2017",449523
"7153","CITY WATER & LIGHT OF JONESBORO","2018",451225.15
"7154","CITY WATER & LIGHT PLANT OF THE CITY OF JONESBORO","2019",400839.55
"7155","CITY WATER & LIGHT PLANT OF THE CITY OF JONESBORO","2020",227394.95
"7156","CITY WATER & LIGHT PLANT OF THE CITY OF JONESBORO","2021",390634.5
"7157","CITY WATER & LIGHT PLANT OF THE CITY OF JONESBORO ARKANSAS","2022",343263.7
"7158","CIVITAS RESOURCES INC","2021",1270305
"7159","CIVITAS RESOURCES INC","2022",1250802
"7160","CJM OF FLORIDA LLC","2015",44448.6
"7161","CJM OF FLORIDA LLC","2016",54776.6
"7162","CJM OF FLORIDA LLC","2017",46646.7
"7163","CJM OF FLORIDA LLC","2018",56974
"7164","CJM OF FLORIDA LLC","2019",50458.5
"7165","CJM OF FLORIDA LLC","2020",53498.6
"7166","CJM OF FLORIDA LLC","2021",52735.2
"7167","CJM OF FLORIDA LLC","2022",60902.9
"7168","CJM of Florida, LLC","2010",27591.1
"7169","CJM of Florida, LLC","2011",27097
"7170","CJM of Florida, LLC","2012",35464.6
"7171","CJM of Florida, LLC","2013",42007.9
"7172","CJM of Florida, LLC","2014",47657.5
"7173","CK TECHNOLOGIES INC","2019",709422
"7174","CK TECHNOLOGIES INC","2020",935338
"7175","CK TECHNOLOGIES INC","2021",963453
"7176","CK TECHNOLOGIES INC","2022",1126040
"7177","CLARIANT CORP","2015",19980
"7178","CLARIANT CORP","2016",16911
"7179","CLARIANT CORP","2017",26233
"7180","CLARIANT CORP","2018",25158
"7181","CLARIANT CORP","2019",29505
"7182","CLARIANT CORP","2020",27780
"7183","CLARIANT CORP","2021",26104
"7184","CLARIANT CORP","2022",26160
"7185","CLARION INDUSTRIES INC","2015",11934
"7186","CLARION INDUSTRIES INC","2019",64807
"7187","CLARION INDUSTRIES INC","2020",60345
"7188","CLARION INDUSTRIES INC","2021",60969
"7189","CLARION INDUSTRIES INC","2022",64088
"7190","CLARIOS LLC","2020",62597
"7191","CLARIOS LLC","2021",11450
"7192","CLARIOS LLC","2022",344
"7193","CLARK COUNTY BOARD OF COMMISSIONERS","2015",83514.5
"7194","CLARK COUNTY BOARD OF COMMISSIONERS","2016",11573
"7195","CLARK COUNTY BOARD OF COMMISSIONERS","2017",81969
"7196","CLARK COUNTY BOARD OF COMMISSIONERS","2018",94747
"7197","CLARK PUBLIC UTILITIES","2015",708077
"7198","CLARK PUBLIC UTILITIES","2016",569033
"7199","CLARK PUBLIC UTILITIES","2017",495761
"7200","CLARK PUBLIC UTILITIES","2018",474250
"7201","CLARK PUBLIC UTILITIES","2019",686739
"7202","CLARK PUBLIC UTILITIES","2020",635084
"7203","CLARK PUBLIC UTILITIES","2021",737163
"7204","CLARK PUBLIC UTILITIES","2022",653928
"7205","CLARKE-MOBILE COUNTIES GAS DISTRICT","2015",1855
"7206","CLARKE-MOBILE COUNTIES GAS DISTRICT","2016",2001
"7207","CLARKE-MOBILE COUNTIES GAS DISTRICT","2017",1786
"7208","CLARKE-MOBILE COUNTIES GAS DISTRICT","2018",1813
"7209","CLARKE-MOBILE COUNTIES GAS DISTRICT","2019",2167
"7210","CLARKE-MOBILE COUNTIES GAS DISTRICT","2020",2167
"7211","CLARKE-MOBILE COUNTIES GAS DISTRICT","2021",1982
"7212","CLARKE-MOBILE COUNTIES GAS DISTRICT","2022",3352
"7213","CLARKSDALE PUBLIC UTILITIES COMMISSION","2015",14329
"7214","CLARKSDALE PUBLIC UTILITIES COMMISSION","2016",15754
"7215","CLARKSDALE PUBLIC UTILITIES COMMISSION","2017",8595
"7216","CLARKSDALE PUBLIC UTILITIES COMMISSION","2018",45263
"7217","CLARKSDALE PUBLIC UTILITIES COMMISSION","2019",91575
"7218","CLARKSDALE PUBLIC UTILITIES COMMISSION","2020",85115
"7219","CLARKSDALE PUBLIC UTILITIES COMMISSION","2021",53436
"7220","CLARKSDALE PUBLIC UTILITIES COMMISSION","2022",139361
"7221","CLAY ENDICOTT PRODUCTS CO","2021",27048
"7222","CLAY ENDICOTT PRODUCTS CO","2022",21471
"7223","CLAYTON COUNTY BOARD OF COMMISSIONERS","2015",55064
"7224","CLAYTON COUNTY BOARD OF COMMISSIONERS","2016",55128
"7225","CLAYTON COUNTY BOARD OF COMMISSIONERS","2017",52163
"7226","CLAYTON COUNTY BOARD OF COMMISSIONERS","2018",54266
"7227","CLAYTON DUBILIER & RICE","2015",13353.84
"7228","CLAYTON DUBILIER & RICE","2016",14025
"7229","CLAYTON DUBILIER & RICE","2017",16197.6
"7230","CLAYTON DUBILIER & RICE","2018",9977.13
"7231","CLAYTON DUBILIER & RICE LLC","2019",9475.8
"7232","CLAYTON DUBILIER & RICE LLC","2020",13918.41
"7233","CLAYTON DUBILIER & RICE LLC","2021",12630.15
"7234","CLAYTON DUBILIER & RICE LLC","2022",26010
"7235","CLAYTON WILLIAMS ENERGY INC","2015",106766
"7236","CLAYTON WILLIAMS ENERGY INC","2016",81695
"7237","CLAYTON WILLIAMS ENERGY INC","2017",112213
"7238","CLEAN ENERGY FUTURES - LORDSTOWN LLC","2019",2195487
"7239","CLEAN ENERGY FUTURES - LORDSTOWN LLC","2020",2242272
"7240","CLEAN ENERGY FUTURES - LORDSTOWN LLC","2021",2170712
"7241","CLEAN ENERGY FUTURES - LORDSTOWN LLC","2022",2361308
"7242","CLEAN HARBORS INC","2016",128175
"7243","CLEAN HARBORS INC","2017",182242
"7244","CLEAN HARBORS INC","2018",199266
"7245","CLEAN HARBORS INC","2019",368120
"7246","CLEAN HARBORS INC","2020",352002
"7247","CLEAN HARBORS INC","2021",336506
"7248","CLEAN HARBORS INC","2022",334320
"7249","CLEAN HARBORS LLC","2015",87337
"7250","CLEAN HARBORS LLC","2016",87622
"7251","CLEAN HARBORS LLC","2017",87127
"7252","CLEAN HARBORS LLC","2018",86496
"7253","CLEAR AIR FORCE STATION","2011",85955
"7254","CLEAR AIR FORCE STATION","2012",86702
"7255","CLEAR AIR FORCE STATION","2013",89909
"7256","CLEAR AIR FORCE STATION","2014",89430
"7257","CLEARWATER PAPER CORP","2011",527692
"7258","CLEARWATER PAPER CORP","2012",520556
"7259","CLEARWATER PAPER CORP","2013",550199
"7260","CLEARWATER PAPER CORP","2014",560118
"7261","CLEARWATER PAPER CORP","2015",625359
"7262","CLEARWATER PAPER CORP","2016",680311
"7263","CLEARWATER PAPER CORP","2017",661989
"7264","CLEARWATER PAPER CORP","2018",591265
"7265","CLEARWATER PAPER CORP","2019",680968
"7266","CLEARWATER PAPER CORP","2020",722435
"7267","CLEARWATER PAPER CORP","2021",651039
"7268","CLEARWATER PAPER CORP","2022",633619
"7269","CLEARWAY ENERGY GROUP LLC","2019",287043
"7270","CLEARWAY ENERGY GROUP LLC","2020",290729
"7271","CLEARWAY ENERGY GROUP LLC","2021",294920
"7272","CLEARWAY ENERGY GROUP LLC","2022",191410
"7273","CLEARWAY ENERGY INC","2019",533421
"7274","CLEARWAY ENERGY INC","2020",561408
"7275","CLEARWAY ENERGY INC","2021",658279
"7276","CLEARWAY ENERGY INC","2022",460943
"7277","CLEARWAY ENERGY, INC","2018",69385
"7278","CLECO CAJUN LLC","2018",172435
"7279","CLECO CAJUN LLC","2019",151093
"7280","CLECO CORP","2011",9209741.9056
"7281","CLECO CORP","2012",8844541.2824
"7282","CLECO CORP","2013",8977448.4176
"7283","CLECO CORP","2014",8285826.3384
"7284","CLECO CORP","2015",9506436.012
"7285","CLECO CORP","2017",2384810.5
"7286","CLECO CORP","2018",2633015.5
"7287","CLECO CORPORATE HOLDINGS LLC","2017",5608308.6176
"7288","CLECO CORPORATE HOLDINGS LLC","2018",9075120.3728
"7289","CLECO CORPORATE HOLDINGS LLC","2019",7935864.5024
"7290","CLECO CORPORATE HOLDINGS LLC","2020",9612820.7912
"7291","CLECO CORPORATE HOLDINGS LLC","2021",9872092.488
"7292","CLECO CORPORATE HOLDINGS LLC","2022",9947197.636
"7293","CLECO CORPORATE HOLDINGS, LLC","2016",5052368.992
"7294","CLECO Corporate Holdings, LLC","2016",4151581.5
"7295","CLEO CORPORATE HOLDINGS LLC","2019",2689469
"7296","CLEVELAND CLIFFS INC","2017",359251
"7297","CLEVELAND CLIFFS INC","2018",453067
"7298","CLEVELAND CLINIC","2011",60236
"7299","CLEVELAND CLINIC","2012",62302
"7300","CLEVELAND CLINIC","2013",63034
"7301","CLEVELAND CLINIC","2014",59572
"7302","CLEVELAND CLINIC","2015",59529
"7303","CLEVELAND CLINIC","2016",52782
"7304","CLEVELAND CLINIC","2017",53619
"7305","CLEVELAND CLINIC","2018",59659
"7306","CLEVELAND COUNTY HEALTH DEPARTMENT","2015",136612
"7307","CLEVELAND COUNTY HEALTH DEPARTMENT","2016",139203
"7308","CLEVELAND COUNTY HEALTH DEPARTMENT","2017",141833
"7309","CLEVELAND COUNTY HEALTH DEPARTMENT","2018",120881
"7310","CLEVELAND COUNTY HEALTH DEPARTMENT","2019",151974
"7311","CLEVELAND COUNTY HEALTH DEPARTMENT","2020",132002
"7312","CLEVELAND COUNTY HEALTH DEPARTMENT","2021",135705
"7313","CLEVELAND COUNTY HEALTH DEPARTMENT","2022",139753
"7314","CLEVELAND THERMAL LLC","2015",141426
"7315","CLEVELAND THERMAL LLC","2016",111563
"7316","CLEVELAND THERMAL LLC","2017",64137
"7317","CLEVELAND THERMAL LLC","2018",69538
"7318","CLEVELAND THERMAL LLC","2019",65360
"7319","CLEVELAND THERMAL LLC","2020",57706
"7320","CLEVELAND THERMAL LLC","2021",55949
"7321","CLEVELAND THERMAL LLC","2022",59287
"7322","CLEVELAND THERMAL, LLC","2011",167312
"7323","CLEVELAND THERMAL, LLC","2012",153616
"7324","CLEVELAND THERMAL, LLC","2013",171403
"7325","CLEVELAND THERMAL, LLC","2014",167199
"7326","CLEVELAND-CLIFFS INC","2018",1996799
"7327","CLEVELAND-CLIFFS INC","2019",2194702
"7328","CLEVELAND-CLIFFS INC","2020",27234614
"7329","CLEVELAND-CLIFFS INC","2021",28753978.52
"7330","CLEVELAND-CLIFFS INC","2022",24977353.4
"7331","CLF PinnOak LLC","2010",51319
"7332","CLIFFS NATURAL RESOURCES","2011",3729807.15
"7333","CLIFFS NATURAL RESOURCES","2012",4593895.43
"7334","CLIFFS NATURAL RESOURCES","2013",5000439.87
"7335","CLIFFS NATURAL RESOURCES","2014",5249238.09
"7336","CLIFFS NATURAL RESOURCES","2015",3490892.08
"7337","CLIFFS NATURAL RESOURCES","2016",1934074.94
"7338","CLIFFS NATURAL RESOURCES","2017",2090524
"7339","CLINTON COUNTY AREA SOLID WASTE AGENCY","2015",33904
"7340","CLINTON COUNTY AREA SOLID WASTE AGENCY","2016",34622
"7341","CLINTON COUNTY AREA SOLID WASTE AGENCY","2017",35269
"7342","CLINTON COUNTY AREA SOLID WASTE AGENCY","2018",35964
"7343","CLINTON COUNTY AREA SOLID WASTE AGENCY","2019",36531
"7344","CLINTON COUNTY AREA SOLID WASTE AGENCY","2020",37319
"7345","CLINTON COUNTY AREA SOLID WASTE AGENCY","2021",38080
"7346","CLINTON COUNTY AREA SOLID WASTE AGENCY","2022",38876
"7347","CLINTON COUNTY SOLID WASTE AUTHORITY","2015",58618
"7348","CLINTON COUNTY SOLID WASTE AUTHORITY","2016",55582
"7349","CLINTON COUNTY SOLID WASTE AUTHORITY","2017",59629
"7350","CLINTON COUNTY SOLID WASTE AUTHORITY","2018",63761
"7351","CLINTON COUNTY SOLID WASTE AUTHORITY","2019",83795
"7352","CLINTON COUNTY SOLID WASTE AUTHORITY","2020",81221
"7353","CLINTON COUNTY SOLID WASTE AUTHORITY","2021",91871
"7354","CLINTON COUNTY SOLID WASTE AUTHORITY","2022",128651
"7355","CLOVER FLAT LANDFILL INC","2020",43547
"7356","CLOVER FLAT LANDFILL INC","2021",56401
"7357","CLOVER FLAT LANDFILL INC","2022",58746
"7358","CLOVER FLAT LANDFILL, INC","2011",18963
"7359","CLOVER FLAT LANDFILL, INC","2012",18809
"7360","CLOVER FLAT LANDFILL, INC","2013",19091
"7361","CLOVER FLAT LANDFILL, INC","2014",12019
"7362","CLOVER FLAT LANDFILL, INC","2019",64356
"7363","CM Holdings, Inc.","2010",34725
"7364","CM Holdings, Inc.","2011",39545
"7365","CML EXPLORATION LLC","2021",102513
"7366","CML EXPLORATION LLC","2022",50644
"7367","CML Exploration, LLC","2020",58300
"7368","CMO INC","2015",45123
"7369","CMO INC","2016",643
"7370","CMO INC","2017",438
"7371","CMO INC","2019",30010
"7372","CMO INC","2020",7793
"7373","CMO INC","2021",263
"7374","CMO INC","2022",284
"7375","CMO, Inc.","2013",57851
"7376","CMO, Inc.","2014",41548
"7377","CMS ENERGY CORP","2011",2612702.5
"7378","CMS ENERGY CORP","2012",3112414.5
"7379","CMS ENERGY CORP","2013",3035142
"7380","CMS ENERGY CORP","2014",18801481.3059
"7381","CMS ENERGY CORP","2015",21572892.2981
"7382","CMS ENERGY CORP","2016",16946573.573
"7383","CMS ENERGY CORP","2017",16512930.4732
"7384","CMS ENERGY CORP","2018",16562501.1188
"7385","CMS ENERGY CORP","2019",16819910.2792
"7386","CMS ENERGY CORP","2020",14755657.7581
"7387","CMS ENERGY CORP","2021",17341616.0604
"7388","CMS ENERGY CORP","2022",17469578.7604
"7389","CMS Energy","2010",21130110.5396
"7390","CMS Energy","2011",16440943.2827
"7391","CMS Energy","2012",15713101.6773
"7392","CMS Energy","2013",16818973.6225
"7393","CMS Energy Corporation","2010",314319
"7394","CMS Generation Filer City Inc.","2011",271007
"7395","CMS Generation Filer City Inc.","2012",285572.5
"7396","CMS Generation Filer City Inc.","2013",274585
"7397","CMS Generation Filer City Inc.","2014",308465.5
"7398","CNX Gas Company","2011",585840
"7399","CNX Gas Company","2012",446103
"7400","CNX Gas Company","2013",1243059
"7401","CNX Gas Company","2014",571082
"7402","CNX RESOURCES CORP","2018",221056
"7403","CNX RESOURCES CORP","2019",344497
"7404","CNX RESOURCES CORP","2020",330669
"7405","CNX RESOURCES CORP","2021",366083
"7406","CNX RESOURCES CORP","2022",559355
"7407","CNX Resources Corp","2018",41133
"7408","COAL RIVER MINING, L.L.C.","2011",73114
"7409","COAL RIVER MINING, L.L.C.","2012",97076
"7410","COAL RIVER MINING, L.L.C.","2013",66649
"7411","COASTAL REGIONAL SOLID WASTE MANAGEMENT AUTHORITY","2011",86144
"7412","COASTAL REGIONAL SOLID WASTE MANAGEMENT AUTHORITY","2012",87353
"7413","COASTAL REGIONAL SOLID WASTE MANAGEMENT AUTHORITY","2013",91139
"7414","COASTAL REGIONAL SOLID WASTE MANAGEMENT AUTHORITY","2014",90224
"7415","COASTAL REGIONAL SOLID WASTE MANAGEMENT AUTHORITY","2015",81777
"7416","COASTAL REGIONAL SOLID WASTE MANAGEMENT AUTHORITY","2016",86127
"7417","COASTAL REGIONAL SOLID WASTE MANAGEMENT AUTHORITY","2017",103166
"7418","COASTAL REGIONAL SOLID WASTE MANAGEMENT AUTHORITY","2018",125127
"7419","COE BRIDGEWATER LLC C/O THOR EQUITIES LLC","2020",30024
"7420","COE BRIDGEWATER LLC C/O THOR EQUITIES LLC","2021",29961
"7421","COE BRIDGEWATER LLC C/O THOR EQUITIES LLC","2022",30275
"7422","COE Bridgewater LLC c/o Thor Equities, LLC","2019",28783
"7423","COEUR MINING INC","2015",33288
"7424","COEUR MINING INC","2016",34495
"7425","COEUR MINING INC","2017",37949
"7426","COEUR MINING INC","2018",37605
"7427","COEUR MINING INC","2019",40687
"7428","COEUR MINING INC","2020",45006
"7429","COEUR MINING INC","2021",46916
"7430","COEUR MINING INC","2022",43532
"7431","COFFEE COUNTY COMMISSION","2015",90508
"7432","COFFEE COUNTY COMMISSION","2016",116960
"7433","COFFEE COUNTY COMMISSION","2017",129802
"7434","COFFEE COUNTY COMMISSION","2018",155227
"7435","COFFEE COUNTY COMMISSION","2019",177438
"7436","COFFEE COUNTY COMMISSION","2020",187720
"7437","COFFEE COUNTY COMMISSION","2021",209651
"7438","COFFEE COUNTY COMMISSION","2022",172618
"7439","COG OPERATING, LLC","2011",242592
"7440","COG OPERATING, LLC","2012",289382
"7441","COG OPERATING, LLC","2013",286073
"7442","COG OPERATING, LLC","2014",375722
"7443","COGENT MIDSTREAM WESTEX LLC","2019",234078
"7444","COGENT MIDSTREAM WESTEX LLC","2020",511829
"7445","COGENT MIDSTREAM WESTEX LLC","2021",538106
"7446","COGENT MIDSTREAM WESTEX LLC","2022",596863
"7447","COGENTRIX ENERGY","2020",4156249
"7448","COGENTRIX ENERGY LLC","2011",37789.885
"7449","COGENTRIX ENERGY LLC","2012",33265.085
"7450","COGENTRIX ENERGY LLC","2015",488421
"7451","COGENTRIX ENERGY LLC","2016",435357
"7452","COGENTRIX ENERGY LLC","2017",93789
"7453","COGENTRIX ENERGY LLC","2018",79943
"7454","COLLEGIATE MIDSTREAM LLC","2021",32000
"7455","COLLEGIATE MIDSTREAM LLC","2022",51588
"7456","COLLUMS LUMBER MILL INC","2015",2586
"7457","COLORADO BEND 1 POWER LLC","2019",946404
"7458","COLORADO BEND 1 POWER LLC","2020",993372
"7459","COLORADO BEND 1 POWER LLC","2021",965614
"7460","COLORADO BEND 1 POWER LLC","2022",771748
"7461","COLORADO SPRINGS UTILITIES","2011",3804131
"7462","COLORADO SPRINGS UTILITIES","2012",3717629
"7463","COLORADO SPRINGS UTILITIES","2013",4077895
"7464","COLORADO SPRINGS UTILITIES","2014",3524334
"7465","COLORADO SPRINGS UTILITIES","2015",3964696
"7466","COLORADO SPRINGS UTILITIES","2016",3473468
"7467","COLORADO SPRINGS UTILITIES","2017",3448177
"7468","COLORADO SPRINGS UTILITIES","2018",3256752
"7469","COLORADO SPRINGS UTILITIES","2019",3136744
"7470","COLORADO SPRINGS UTILITIES","2020",2827387
"7471","COLORADO SPRINGS UTILITIES","2021",2579854
"7472","COLORADO SPRINGS UTILITIES","2022",2394779
"7473","COLORADO STATE UNIVERSITY SYSTEM","2019",50999
"7474","COLORADO STATE UNIVERSITY SYSTEM","2020",45771
"7475","COLORADO STATE UNIVERSITY SYSTEM","2021",43819
"7476","COLORADO STATE UNIVERSITY SYSTEM","2022",45948
"7477","COLSTRIP ENERGY LP","2011",373902
"7478","COLSTRIP ENERGY LP","2012",430349
"7479","COLSTRIP ENERGY LP","2013",442893
"7480","COLSTRIP ENERGY LP","2014",421697
"7481","COLSTRIP ENERGY LP","2015",476129
"7482","COLSTRIP ENERGY LP","2016",523594
"7483","COLSTRIP ENERGY LP","2017",313011
"7484","COLSTRIP ENERGY LP","2018",414892
"7485","COLSTRIP ENERGY LP","2019",380050
"7486","COLSTRIP ENERGY LP","2020",373440
"7487","COLSTRIP ENERGY LP","2021",491021
"7488","COLSTRIP ENERGY LP","2022",439647
"7489","COLT MIDSTREAM LLC","2021",206786
"7490","COLT MIDSTREAM LLC","2022",211096
"7491","COLUMBIA CITY OF (INC)","2019",47180
"7492","COLUMBIA CITY OF (INC)","2020",54736
"7493","COLUMBIA CITY OF (INC)","2021",52133
"7494","COLUMBIA CITY OF (INC)","2022",31701
"7495","COLUMBIA COUNTY FL","2015",45392
"7496","COLUMBIA COUNTY FL","2016",46247
"7497","COLUMBIA COUNTY FL","2018",53629
"7498","COLUMBIA COUNTY GA","2016",36375
"7499","COLUMBIA COUNTY GA","2017",33973
"7500","COLUMBIA COUNTY GA","2018",32138
"7501","COLUMBIA COUNTY GEORGIA","2019",29330
"7502","COLUMBIA COUNTY GEORGIA","2020",26912
"7503","COLUMBIA COUNTY GEORGIA","2021",26126
"7504","COLUMBIA COUNTY GEORGIA","2022",24407
"7505","COLUMBIA PIPELINE GROUP","2015",431964
"7506","COLUMBIAN CHEMICALS CO","2011",109117
"7507","COLUMBIAN CHEMICALS CO","2012",106052
"7508","COLUMBIAN CHEMICALS CO","2013",105803
"7509","COLUMBIAN CHEMICALS CO","2014",100713
"7510","COLUMBIAN CHEMICALS CO","2015",351549
"7511","COLUMBIAN CHEMICALS CO","2016",297140
"7512","COLUMBIAN CHEMICALS CO","2017",371029
"7513","COLUMBIAN CHEMICALS CO","2018",336176
"7514","COLUMBUS CONSOLIDATED GOVERNMENT","2015",99324
"7515","COLUMBUS CONSOLIDATED GOVERNMENT","2016",97553
"7516","COLUMBUS CONSOLIDATED GOVERNMENT","2017",112127
"7517","COLUMBUS CONSOLIDATED GOVERNMENT","2018",114320
"7518","COLUMBUS GEORGIA CONSOLIDATED GOVERNMENT","2019",119953
"7519","COLUMBUS GEORGIA CONSOLIDATED GOVERNMENT","2020",134771
"7520","COLUMBUS GEORGIA CONSOLIDATED GOVERNMENT","2021",130708
"7521","COLUMBUS GEORGIA CONSOLIDATED GOVERNMENT","2022",132751
"7522","COMMERCIAL BRICK CO","2015",26788
"7523","COMMERCIAL BRICK CO","2016",23210
"7524","COMMERCIAL BRICK CO","2017",26638
"7525","COMMERCIAL BRICK CO","2018",26761
"7526","COMMERCIAL BRICK CORP","2019",25611
"7527","COMMERCIAL BRICK CORP","2020",26494
"7528","COMMERCIAL BRICK CORP","2021",26487
"7529","COMMERCIAL BRICK CORP","2022",26646
"7530","COMMERCIAL METALS CO","2011",204941
"7531","COMMERCIAL METALS CO","2012",189531
"7532","COMMERCIAL METALS CO","2013",207439
"7533","COMMERCIAL METALS CO","2014",175858
"7534","COMMERCIAL METALS CO","2015",396160
"7535","COMMERCIAL METALS CO","2016",404394
"7536","COMMERCIAL METALS CO","2017",426841
"7537","COMMERCIAL METALS CO","2018",725637
"7538","COMMERCIAL METALS CO","2019",827946
"7539","COMMERCIAL METALS CO","2020",844631
"7540","COMMERCIAL METALS CO","2021",795704
"7541","COMMERCIAL METALS CO","2022",812951
"7542","COMMERCIAL METALS COMPANY","2011",206748
"7543","COMMERCIAL METALS COMPANY","2012",181047
"7544","COMMERCIAL METALS COMPANY","2013",165611
"7545","COMMERCIAL METALS COMPANY","2014",156362
"7546","COMMONWEALTH ENVIRONMENTAL SYSTEMS","2011",1260
"7547","COMMONWEALTH ENVIRONMENTAL SYSTEMS","2012",1511
"7548","COMMONWEALTH ENVIRONMENTAL SYSTEMS","2013",575
"7549","COMMONWEALTH ENVIRONMENTAL SYSTEMS","2014",454
"7550","COMMONWEALTH OF MASSACHUSETTS","2011",76710
"7551","COMMONWEALTH OF MASSACHUSETTS","2012",76194
"7552","COMMONWEALTH OF MASSACHUSETTS","2013",86429
"7553","COMMONWEALTH OF MASSACHUSETTS","2014",84158
"7554","COMMONWEALTH OF MASSACHUSETTS","2015",88467
"7555","COMMONWEALTH OF MASSACHUSETTS","2016",86227
"7556","COMMONWEALTH OF MASSACHUSETTS","2017",86929
"7557","COMMONWEALTH OF MASSACHUSETTS","2018",90669
"7558","COMMONWEALTH OF MASSACHUSETTS","2019",84996
"7559","COMMONWEALTH OF MASSACHUSETTS","2020",87863
"7560","COMMONWEALTH OF MASSACHUSETTS","2021",89040
"7561","COMMONWEALTH OF MASSACHUSETTS","2022",85142
"7562","COMMONWEALTH OF VIRGINIA","2011",121657
"7563","COMMONWEALTH OF VIRGINIA","2012",87517
"7564","COMMONWEALTH OF VIRGINIA","2013",106105
"7565","COMMONWEALTH OF VIRGINIA","2014",113367
"7566","COMMONWEALTH OF VIRGINIA","2015",108148
"7567","COMMONWEALTH OF VIRGINIA","2016",99307
"7568","COMMONWEALTH OF VIRGINIA","2017",103211
"7569","COMMONWEALTH OF VIRGINIA","2018",82977
"7570","COMMONWEALTH OF VIRGINIA","2019",81919
"7571","COMMONWEALTH OF VIRGINIA","2020",64757
"7572","COMMONWEALTH OF VIRGINIA","2021",54223
"7573","COMMONWEALTH OF VIRGINIA","2022",67661
"7574","COMMONWEALTH PLYWOOD CO, LTD","2011",210
"7575","COMMONWEALTH ROLLED PRODUCTS INC","2020",156517
"7576","COMMUNITY ECO POWER LLC","2020",23939
"7577","COMMUNITY ECO POWER LLC","2021",65579
"7578","COMMUNITY ECO POWER LLC","2022",15385
"7579","COMMUNITY REFUSE SERVICE, INC","2011",99346
"7580","COMMUNITY REFUSE SERVICE, INC","2012",87358
"7581","COMMUNITY REFUSE SERVICE, INC","2013",127506
"7582","COMMUNITY REFUSE SERVICE, INC","2014",23927
"7583","COMPASS MINERALS","2011",2680
"7584","COMPASS MINERALS","2012",22158
"7585","COMPASS MINERALS","2013",96320
"7586","COMPASS MINERALS","2014",106021
"7587","COMPASS MINERALS","2015",145981
"7588","COMPASS MINERALS","2016",139161
"7589","COMPASS MINERALS","2017",140052
"7590","COMPASS MINERALS","2018",144273
"7591","COMPASS MINERALS INTERNATIONAL INC","2011",51678
"7592","COMPASS MINERALS INTERNATIONAL INC","2012",52545
"7593","COMPASS MINERALS INTERNATIONAL INC","2013",49122
"7594","COMPASS MINERALS INTERNATIONAL INC","2014",54806
"7595","COMPASS MINERALS INTERNATIONAL INC","2019",150019
"7596","COMPASS MINERALS INTERNATIONAL INC","2020",156840
"7597","COMPASS MINERALS INTERNATIONAL INC","2021",145217
"7598","COMPASS MINERALS INTERNATIONAL INC","2022",146612
"7599","COMPASS PRODUCTION PARTNERS LP","2014",251265
