text,classification
"The FHWA repealed the 2017 GHG measure before the respective due dates for target setting or reporting, and FHWA is unaware of any State DOTs or MPOs that incurred costs because of the promulgation and prompt repeal of that measure.",none
Nor did the repeal itself impose any compliance costs on State DOTs or MPOs.,none
"Accordingly, FHWA does not expect this final rule to result in any increased burden on State DOTs or MPOs by virtue of the fact that FHWA previously established a similar measure that was repealed before any State DOTs or MPOs relied on and implemented its target setting and reporting requirements.",none
"This measure is a new one, which State DOTs and MPOs have not previously implemented.",none
"As a result, FHWA expects that States and MPOs would not have any reliance interests based on the repeal of the 2017 GHG measure.",none
"After reviewing the comments on the proposal, FHWA reaffirms that any potential reliance interest would be outweighed by the benefits of this action, to the extent those interests exist.",none
"Basis & Benefits of These Regulations

The FHWA believes that the performance management requirements are a powerful tool for achieving all seven of the statutory national transportation goals, including the Federal-aid highway program's national goal for environmental sustainability identified under 23 U.S.C. 150(b)(6), and establishing a GHG measure in FHWA's TPM Program will provide a consistent basis for addressing the environmental sustainability of the transportation system and estimating on-road GHG emissions.",none
"In addition, the GHG measure will result in a consistent set of data that can be used to inform the future investment decisions of the Federal Government, State DOTs, and MPOs towards achieving their targets or goals.",none
"By establishing the GHG performance measure, FHWA is taking action to address the largest source of U.S. CO2

emissions.",none
"In 2021, the transportation sector accounted for 34.8 percent of total U.S. CO2

emissions, with 82.7 percent of the sector's total CO2

emissions coming from on-road sources.[7] 

The transportation sector is expected to remain the largest source of U.S. CO2

emissions through 2050, increasing at an average annual rate of 0.3 percent per year despite improvements in the energy efficiency of light-duty vehicles, trucks, and aircraft.[8] 

Factors such as population growth, expansion of urban centers, a growing economy, and increased international trade are expected to result in growing passenger and freight movement.",reduction
"These changes can make GHG reductions and environmental sustainability both more challenging to implement and more important to achieve.[9] 

In addition to being the largest source of U.S. CO2

emissions,[10] 

the transportation sector is increasingly vulnerable to the effects of climate change including higher temperatures, more frequent and intense precipitation, and sea level rise.",none
Much of existing transportation infrastructure was designed and constructed without consideration of these changes.,none
"The Sixth Assessment Report by the IPCC, released on August 7, 2021, confirms that human activities are increasing GHG concentrations that have warmed 

the atmosphere, ocean, and land at a rate that is unprecedented in at least the last 2000 years.[11] 

According to the report, global mean sea level has increased between 1901 and 2018, and changes in extreme events such as heatwaves, heavy precipitation, hurricanes, wildfires, and droughts have intensified since the last assessment report in 2014.[12] 

These changes in extreme events, along with anticipated future changes in these events because of climate change, threaten the reliability, safety and efficiency of the transportation system.",none
"At the same time, transportation contributes significantly to the causes of climate change [13] 

and each additional ton of CO2

produced by the combustion of fossil fuels contributes to future warming and other climate impacts.",none
The first step toward reducing GHG emissions involves inventorying and monitoring those emissions.,none
"By establishing a consistent method for estimating GHG emissions and reporting on trends, the GHG measure aligns with E.O. 13990, E.O. 14008, and supports a U.S. target of reducing GHG emissions economy-wide 50 to 52 percent below 2005 by 2030, on a course toward reaching net-zero emissions economywide by no later than 2050.[14] 

Section 1 of E.O. 13990, “Protecting Public Health and the Environment and Restoring Science to Tackle the Climate Crisis,” (86 FR 7037), articulates national policy objectives, including listening to the science, improving public health and protecting the environment, reducing GHG emissions, and strengthening resilience to the impacts of climate change.",net-zero
"The E.O. 14008, “Tackling the Climate Crisis at Home and Abroad,” (86 FR 7619), recommits the U.S. to the Paris Agreement and calls on the U.S. to begin the process of developing its nationally determined contribution to global GHG reductions.",none
"The E.O. 14008 also calls for a government-wide approach to the climate crisis and acknowledges opportunities to create well-paying, union jobs to build a modern, sustainable infrastructure, to provide an equitable, clean energy future, and to put the U.S. on a path to achieve net-zero emissions, economywide, no later than 2050.",net-zero
"As a matter of transportation policy, FHWA considers the GHG measure essential not only to improve transportation sector performance and work toward achieving net-zero emissions economy-wide by 2050, but also to demonstrate Federal leadership in the assessment and disclosure of climate pollution from the transportation sector.",net-zero
"Measuring and reporting complete, consistent, and timely information for on-road mobile source emissions is necessary so that all levels of government and the public can monitor changes in GHG emissions over time and make more informed decisions about the role of transportation investments and other strategies in achieving GHG reductions.",none
"After reviewing the comments provided on the NPRM, FHWA has decided to finalize the measure proposed in the NPRM, which is the percent change in tailpipe CO2

emissions on the NHS relative to the reference year.",reduction
"In choosing this measure, FHWA considered the measure's sensitivity to strategies and policies of interest to transportation agencies, as well as its simplicity, ease of calculation, and reliance on data States already report to FHWA.",none
"In particular, the GHG measure will utilize fuel use estimates collected by FHWA very shortly after these data are finalized, providing a consistent and timely data source that is better suited for setting targets and monitoring trends in mobile source CO2

emissions on the NHS.",none
"As a new source of information, the measure has the potential to result in greater public awareness of GHG emissions trends, provide increased transparency and improved decisionmaking at all levels of government, and support better informed planning choices to reduce GHG emissions or inform tradeoffs among competing policy choices.",none
"In these capacities, the proposed GHG measure is integral to a whole-of-government approach to address climate change and its effects.",none
"V. Summary of Comments

The FHWA received 39,751 submissions to the docket, including 39,522 from 7 comment campaigns, in response to the NPRM, resulting in 236 unique submissions containing 999 individual comments.",none
"The submissions were signed by 105,484 separate groups/individuals.",none
"The FHWA received comments from 98 advocacy and interest groups (including advocacy groups for active transportation and public transit, the natural environment, climate change action, clean air, and equity/environmental justice, among others), 31 State DOTs and the District of Columbia DOT, 33 State Attorneys General, one State Governor, 33 MPOs, two State environmental agencies, 10 County/Local government agencies, as well as 57 U.S. Senators from 38 states and 56 U.S. Representatives from 25 states.",none
"The FHWA also received comments from 24 industry associations (including the American Association of State Highway Transportation Officials (AASHTO), the Association of Metropolitan Planning Organizations (AMPO), and the American Public Transportation Association (APTA), as well as those representing highway and transportation users, roadway materials producers and roadway builders, and energy companies, among others).",none
"The FHWA also received comments from over 104,500 private citizens, the majority of which were submitted as part of comment campaigns.",none
"Summary of Changes Made in This Final Rule

This section provides a summary of the changes made in the rule compared to the NPRM.",none
Section VII provides further discussion on the significant changes and the reasons they were made.,none
"A. Reference Year

In the final rule, FHWA establishes that 2022 will be the reference year for this measure.",none
"The FHWA has changed 

the definition in 23 CFR 490.505 and updated the calculation of the measure in 23 CFR 490.513(d) [15] 

accordingly.",none
"B. Net-Zero

The definition of net-zero was removed from 23 CFR 490.101, and 23 CFR 490.105(e)(10) was revised so targets must be declining for reducing tailpipe CO2

emissions on the NHS, but they are not required to demonstrate reductions toward net-zero targets.",net-zero
"C. State DOT Targets & Reports

In the final rule, FHWA establishes that State DOTs will establish initial targets for the GHG measure and report them no later than February 1, 2024.",reduction
"The February 1, 2024, date required changes to several sections of existing regulation.",none
"Below is a general summary of the initial target establishment requirements, the reporting process for the State Initial GHG Report due February 1, 2024, and the significant progress determinations that will be completed after the State biennial reports submitted by October 1, 2024, and 2026.",none
"State DOT Target Establishment & Reporting Related to February 1, 2024

The performance period for the GHG measure will begin January 1, 2022 and extend 4 years.",none
"By February 1, 2024, State DOTs will establish initial targets for the GHG measure.",reduction
"Initially, State DOTs will establish 4-year targets; 2-year targets will not be established.",none
"For the initial 4-year target, the reference year will be used as the baseline.",none
"State DOTs will report their 4-year targets to FHWA in the State Initial GHG Report by no later than February 1, 2024.",reduction
"The State Initial GHG Report shall include the State DOT's 4-year target for the GHG measure, the basis for the target, a discussion of how the target relates to other longer-term performance expectations, and the metric information for the reference year.",reduction
The metric reported will be calculated using the data specified in 23 CFR 490.107(d)(2).,none
"Because of the 2024 State Initial GHG Report, State DOTs will not include additional GHG information in the 2024 Mid Performance Period Progress Report, due October 1, 2024.",reduction
Biennial reporting related to the GHG measure will begin with the 2026 Full Performance Period Progress Report and the 2026 Baseline Performance Period Report.,none
"Significant Progress Determination on Initial Targets

After the 2026 Full Performance Period Progress Report, FHWA will determine whether a State DOT has made significant progress toward the achievement of the 4-year target for the GHG measure.",reduction
The FHWA will use the data described in 23 CFR 490.109(d)(1) when calculating the actual performance and making the significant progress determination.,none
The performance for the reference year will be used as the baseline performance in the 2026 significant progress determination.,none
The significant progress determination requirements related to the GHG measure will be phased in as described in 23 CFR 490.109(e)(6).,none
"The FHWA will not determine significant progress toward 2-year targets for this measure after the 2024 Mid Performance Period Progress Report since 2-year targets will not have been established, and information related to the GHG measure will not have been included in the 2024 Mid Performance Period Progress Report.",reduction
"Therefore, in 2024, FHWA will classify the assessment of progress toward the achievement of 2-year targets for the GHG measure as “progress not determined” and they will not be subject to any additional reporting requirements.",none
"Biennial Reporting

FHWA revised proposed changes to section 490.107(b)(1), (b)(2), and (b)(3) to require biennial reporting related to the GHG measure to begin with the 2026 Full Performance Period Progress Report.",reduction
"And, consistent with 23 CFR 490.105(e)(5), the State DOT's 2- and 4-year targets will be reported in the 2026 Baseline Performance Period Report.",reduction
See the discussion under “State DOT Data for the GHG Metric Calculation” for more information on the State DOT biennial reporting associated with the GHG metric.,none
"D. State DOT Data for the GHG Metric Calculation

State DOTs are required to calculate and report both the GHG measure and the GHG metric, the latter of which is defined as the calculation of tailpipe CO2

emissions on the NHS for a given year computed in million metric tons (mmt) and round to the nearest hundredth.",reduction
"State DOTs use the metric to calculate the measure, which is the percent change between the current year and the reference year.",none
"To calculate the metric, State DOTs require several data inputs, and they are defined in 23 CFR 490.511(c).",none
"To ensure consistent calculation of the metric, the data requirements are defined in 23 CFR 490.509.",none
"To provide transparency and consistency, FHWA defines the specific data sources it will use when it calculates the metric and measure for the significant progress determination in 23 CFR 490.109(d).",none
"In this final rule, proposed 23 CFR 490.509(h) was revised so that the State DOT will be able to use their best available vehicle miles traveled (VMT) data when establishing targets, reporting baseline and actual performance and discussing progress.",none
This change addresses a comment that stated VMT data might not be finalized within the Highway Performance Monitoring System (HPMS) for all States by August 15th.,none
"The VMT data used by State DOTs will represent the prior calendar year and should be consistent with the final VMT data submitted by the State DOT to HPMS, to the maximum extent practicable.",none
"The HPMS data as of November 30, 2023, will be used to calculate the metric for the reference year.",none
"Because FHWA will not necessarily have the VMT data the State DOT used, the biennial reporting requirements in proposed 23 CFR 490.107(b)(1)(ii)(H), (b)(2)(ii)(J), and (b)(3)(ii)(I) were revised in this final rule to require the State DOT to report the GHG metric value they calculated, the individual values used to calculate the GHG metric, and a description of the data source(s) used for the VMT information.",none
"This final rule removes the proposed requirement for the State DOT to report CO2

emissions on all public roads as part of reporting the metric information since the values used to calculate the GHG metric can be used to calculate the all-roads value.",none
A corresponding change was made to 23 CFR 490.511(f)(2) to align with the metric reporting requirements in the State DOT's biennial reports.,none
Section 490.109(d)(1)(vi) and (d)(1)(vii) were revised to require the significant progress determination to calculate the GHG metric and measure for the baseline and actual performance using the HPMS data available on November 30th of the year the significant progress determination is made.,none
"For the reference year, FHWA will use the HPMS data as of November 30, 2023.",none
"Section 490.109(d)(1)(viii) was added to specify that the significant progress determination will use the CO2

factors specified in section 490.509(f).",none
"In the final rule, FHWA has added the requirement for State DOTs to submit the State Initial GHG Report, as described in VI.C. For that report, the State DOT will use the data specified in 23 CFR 490.107(d)(2) to calculate the metric.",none
"Please note, 23 CFR 490.511 includes different requirements for State DOTs and MPOs when calculating the metric used to calculate the GHG measure.",none
The State DOT's method is defined in 23 CFR 490.511(c) and the method will be the same for all states.,none
"The MPOs are granted flexibility in how they calculate the metric, as described in 23 CFR 490.511(d).",none
This section only discusses the changes made in the final rule in relation to the data the State DOT will use when calculating the GHG metric.,none
"The changes made related to the MPO metric requirements are summarized below in Section VI.E.

E. Initial MPO Targets & Reports

The final rule, in 23 CFR 490.511(d), retains the additional flexibility granted to MPOs in how they calculate the GHG metric.",none
"The final rule removes the proposed requirement for MPOs and State DOTs to mutually agree upon a method for calculating the metric, and instead requires MPOs to report a description of their metric calculation method(s).",none
"When that method is not one of the ones specified in 23 CFR 490.511(d), the MPO will include information demonstrating the method(s) has valid and useful results for measuring transportation related CO2.",none
"While MPOs are not required to select a metric calculation in coordination with their State DOT, they are encouraged to coordinate with the State DOT on the data used to the maximum extent practicable.",none
"The final rule removes the proposed requirement for the MPO to report CO2

emissions on all public roads.",none
"F. Severability

The final rule adds a new section 23 CFR 490.515 that contains a severability clause applicable to the amendments to 23 CFR part 490 made by this final rule.",none
"FHWA believes that the amendments to part 490, including establishment and calculation of the GHG performance measure and declining targets, are capable of operating independently of one another.",none
"If one or more aspects of the GHG measure are determined to be invalid, the remaining provisions should remain unaffected and in force.",none
"G. Other Changes

The final rule contains several technical changes from the proposed rule.",none
These changes are described in Table 1.,none
"Table 1—Technical Edits to the Final Rule

CFR section

Description of change

23 CFR 490.101

Corrects the abbreviated name for the 

Fuels and Financial Analysis System—Highways

(Fuels & FASH) database.",none
Corresponding changes were made throughout the rule.,none
Listing this date is consistent with Section 490.109(e)(4)(vi) and does not change the intended approach.,none
"Section-by-Section Discussion

This final rule was developed in response to comments received on the NPRM.",none
Section VII summarizes major comments received and any substantive changes made to each section in this final rule.,none
Editorial or minor changes in language are not addressed in this section.,none
"For sections where no substantive changes are discussed, the substantive proposal from the NPRM has been adopted in this final rule.",none
"Questions Posed in the NPRM

The FHWA requested comment on a number of items in the NPRM.",none
"The FHWA invited comments on the following:

How should FHWA structure improving targets for the GHG measure, as well as the associated reporting and significant progress requirements, and how could these targets align with and inform existing transportation planning and programming processes?",none
"Besides requiring targets that reduce GHGs over time, are there any specific ways the proposed GHG measure could be implemented within the framework of TPM to better support emissions reductions to achieve national policies for reductions in total U.S. GHG emissions?",none
"What changes to the proposed measure or its implementation in TPM could better the impact of transportation decisions on CO2

emissions, and enable States to achieve tailpipe CO2

emissions reductions necessary to achieve national targets?",reduction
"In instances that MPOs are establishing a joint UZA target, should FHWA require that the individual MPO-wide targets be the same as the jointly established UZA target?",reduction
"Should MPOs that establish a joint UZA target be exempt from establishing individual MPO-level targets, and instead only be required to adopt and support the joint UZA target?",none
"In cases where there are multiple MPOs with boundaries that overlap any portion of an UZA, and that UZA contains NHS mileage, should each of those MPOs establish their own targets, with no requirement for a joint UZA target?",none
Are there other approaches to target setting in UZAs served by multiple MPOs that would better help MPOs reach net-zero emissions?,none
"The FHWA also requested comment on assumptions that were developed as part of the RIA, as well as information on other benefits or costs that would result from implementation of the rule, as follows:

The RIA includes assumptions regarding the applicability, level of effort and frequency of activities under proposed 23 CFR 490.105, 490.107, 490.109, 490.511, and 490.513.",none
Are these assumptions reasonable?,none
Are there circumstances that may result in greater or lesser burden relative to the RIA assumptions?,none
"Would the staff time spent implementing this measure reduce the burden of carrying out other aspects of State DOT and MPO missions, such as forecasting fuel tax revenues?",none
"If so, please describe and provide any information on programs that would benefit from this measure and estimate any costs that would be reduced by implementing this measure.",none
"Would the proposed rule result in economies of scale or other efficiencies, such as the development of consulting services or specialized tools that would lower the cost of implementation?",none
"If so, please describe such efficiencies and provide any information on potential cost savings.",none
"Would the proposed rule result in the qualitative benefits identified in the RIA, including more informed decisionmaking, greater accountability, and progress on National Transportation Goals identified in MAP-21?",none
Would the proposed rule result in other benefits or costs?,none
"Would the proposed measure change transportation investment decisions and if so, in what ways?",none
"For State DOTs and MPOs that have already implemented their own GHG measure(s), FHWA welcomes information on the impact and effectiveness of their GHG emissions measure(s).",none
"The FHWA received many comments on these items, and thanks commenters for their useful input.",none
The FHWA considered these comments in developing this final rule and responds to significant adverse comments related to these questions and other comments in the following section.,none
"General Comments

FHWA's Legal Justification for the GHG Measure

Comment:

A large number of commenters addressed FHWA's legal authority for this measure.",none
Many commenters affirmed FHWA's legal authority to establish the measure under 23 U.S.C. 150.,none
"These commenters note that under MAP-21, FHWA is required to establish “performance” measures to assess performance of the Interstate and non-Interstate NHS, 

see23 U.S.C. 150(c)(3)(A)(ii)(IV)-(V), and FHWA's interpretation of “performance” to include environmental performance is consistent with the express statutory goals of the Federal-aid highway program, which include environmental sustainability under 23 U.S.C. 150(b)(6).",none
"In contrast, many commenters disputed FHWA's legal authority to establish the proposed measure.",none
"Several commenters stated that, contrary to FHWA's statements, this action will in fact set performance targets for the States and MPOs by requiring State DOTs and MPOs with NHS mileage to establish declining CO2

emissions targets that align with the Administration's net-zero targets, while FHWA's authority is limited to establishing measures for States to use to measure performance.",net-zero
These commenters largely characterized the measure as a requirement that State DOTs and MPOs reduce GHG emissions.,none
"Notably, a large number of commenters stated that FHWA does not have the authority to regulate GHGs, as Congress has not assigned such authority to the Agency, and such authority would be more appropriately assigned to the Environmental Protection Agency (EPA).",none
"Similarly, several commenters claim that FHWA should not focus on regulating GHGs, and instead should work with the EPA to reduce CO2

emissions.",none
A commenter also asserted that the proposed rule inappropriately seeks to rebalance Congress's funding priorities.,none
"Response:

As discussed in Section III of this preamble, FHWA affirms that the Agency has the requisite statutory authority to adopt the GHG measure.",none
A significant number of commenters questioning FHWA's authority to adopt the GHG measure have mischaracterized this rulemaking.,none
"The FHWA is not regulating GHG emissions via this measure, is not mandating any reductions, is not forcing States to select specific projects, and is not asserting authority through this rulemaking over GHG emissions from the transportation sector.",none
"Rather, this measure is designed to provide State DOTs and MPOs with the information necessary to make informed transportation decisions.",none
Although FHWA is requiring that State DOTs and MPOs set targets—consistent with the rest of the TPM program—FHWA is not mandating specific targets and is not setting those targets for State DOTs and MPOs.,none
The FHWA is also neither approving nor disapproving individual targets.,none
"Thus, FHWA is applying the Agency's authority under 23 U.S.C. 150(c) and is not extending beyond that authority.",none
"However, upon examining comments and the preamble to the NPRM, FHWA recognizes that the language regarding aligning with net-zero targets could be clarified to better indicate FHWA's intent.",none
"Therefore, FHWA is clarifying that the Agency is not requiring that declining targets align to the Administration's net-zero targets as outlined in the national policy established under E.O. 14008.",net-zero
"Rather, FHWA recommends that State DOTs and MPOs consider the Administration's targets when setting their declining targets.",none
"Comment:

Several commenters asserted that FHWA has not sufficiently justified changing its approach.",none
"Commenters assert that FHWA is merely reinstating a previous action and is changing the Agency's position based on policy preferences provided in E.O.s rather than technical expertise, such as by stating that the emissions measure would result in substantial benefits, while also stating that the benefits are not easily quantifiable.",none
"Several commenters assert that FHWA has failed to adequately justify this measure by relying on general reports on CO2

emissions and climate change harms.",none
"In addition, commenters asserted that FHWA may not merely reexamine previous assertions in rulemakings and must instead provide technical analysis in support of the rulemaking.",none
Commenters asserted that FHWA failed to consider whether declining targets will interfere with other statutory schemes by encouraging States to adopt electric vehicles to reduce GHGs while not focusing on reducing criteria pollutants under CMAQ.,none
"In addition, commenters assert FHWA failed to consider whether the rulemaking will disadvantage States with a range of different conditions, such as extreme climates and freight traffic.",none
"Response:

The FHWA disagrees with these commenters' assertions.",none
The FHWA has reexamined the rationale for the 2018 repeal and has determined that FHWA has the authority to adopt this GHG measure and has provided updated analyses identifying why the GHG measure is appropriate and reasonable in light of FHWA's statutory mandate to adopt performance measures.,none
"The 

FHWA's legal authority, technical justification, and reasoned analysis for this measure are detailed in the NPRM and in Sections III.",none
"FHWA has acknowledged that it is changing the position the Agency put forward in the 2018 repeal final rule and provided detailed legal, technical, and policy reasons for doing so.",none
Commenters' assertion that FHWA must do more to justify changing its approach has no basis in law.,none
"Fox Television Stations, Inc.,

556 U.S. 502, 515-16 (2009).",none
The FHWA also disagrees with the commenters' assertions about FHWA's failure to consider whether declining targets will disadvantage States or cause any potential harm through the adoption of electric vehicles.,none
These comments are predicated on a misconception that FHWA is requiring any specific behavior by State DOTs and MPOs to reduce GHG emissions.,none
"The FHWA is not mandating reductions, and this rulemaking does not require or purport to require State DOTs or MPOs to select GHG reducing projects.",none
"Rather, State DOTs and MPOs will determine appropriate declining targets based on the conditions relevant to the State DOTs and MPOs.",none
The FHWA expects—but does not require—that this measure will help State DOTs and MPOs select projects that will reduce GHG emissions.,none
"Comment:

Several commenters assert that FHWA lacks the authority to adopt the GHG measure based on the recent decision of 

West Virginia

v.",none
"Response:

The FHWA disagrees with the assertion that this measure is inconsistent with recent Supreme Court precedent.",none
This rulemaking is not an extraordinary case.,none
"It does not involve a novel interpretation of longstanding FHWA authority, nor does it represent an unheralded assertion of regulatory authority with the significant economic and political impacts that implicate a major questions case under

West Virginia

v.",none
The FHWA's approach is in line with FHWA's prior requirements for performance measures related to the national goals in 23 U.S.C. 150(b).,none
This rulemaking also does not require State DOTs and MPOs to change their approach to selecting projects.,none
"Rather, the measure will provide them with additional information to inform their decisionmaking.",none
"As described in the RIA, this rulemaking has minimal costs for State DOTs and MPOs.",none
"Additionally, there is clear congressional authorization to establish performance measures under 23 U.S.C. 150(c).",none
"Contrary to inaccurate statements made by commenters, FHWA is not regulating GHG emissions, but rather is setting forth an approach by which to measure GHG emissions related to transportation on the Interstate System and non-Interstate NHS, using publicly available data, which States and MPOs can use to make better-informed transportation investment decisions.",none
"Therefore, FHWA disagrees with the commenters' assertions related to the Major Questions Doctrine.",none
"Comment:

A number of commenters stated that FHWA does not have the authority to issue this GHG measure under 23 U.S.C. 150(c) because the statute limits performance measures only to those described in that subsection.",none
"Response:

As described in the NPRM and discussed in Section III of this preamble, FHWA has reconsidered its previous interpretation that this provision limits FHWA's authority to establish measures States use to assess performance on the NHS to measures that focus on the physical condition of the system and the efficiency of transportation operations across the system.",none
FHWA now concludes that 23 U.S.C. 150(c) limits FHWA to establishing measures to carry out 23 U.S.C. 119 to measures that assess performance on the Interstate System and the NHS.,none
"However, the provision does not otherwise limit the meaning of “performance.” Thus, FHWA has concluded that the “performance” of the Interstate and non-Interstate NHS includes environmental performance, and FHWA disagrees with the commenters' conclusion that FHWA does not have authority to adopt this GHG measure.",none
"Comment:

Commenters noted that although FHWA is not proposing any penalties, FHWA would be able to influence the selection of projects by States that rely on formula funds that Congress requires FHWA to distribute to States.",none
"Response:

The FHWA did not propose, and is not finalizing, any requirements for specific use of funds related to the GHG measure.",none
"The measure and the associated targets established through the final rule are intended to help State DOTs and MPOs consistently and transparently monitor the current performance of the NHS, and plan transportation projects in a way that protects the long-term performance of the NHS.",none
The final rule does not direct any action on the part of the State DOT or MPO with respect to selecting projects under the Federal-aid highway program.,none
"As per 23 U.S.C. 145, State DOTs determine which eligible projects are federally funded, and FHWA reaffirms that nothing in this final rule should be construed to affect that bedrock principle.",none
"Therefore, FHWA disagrees with the commenters' assertion that FHWA may influence project selection through this measure.",none
"Comment:

Commenters note that BIL did not provide FHWA with new authority to regulate GHGs, but rather BIL established new programs to incentivize and reward State DOTs and MPOs for implementing emissions reduction strategies.",none
Commenters also note that BIL and the Inflation Reduction Act (IRA) (Pub.,none
L. 117-169) did not authorize FHWA to mandate GHG performance targets that States would be required to meet.,none
One commenter asserts that the legislative history of BIL indicates that Congress considered but did not pursue climate change policy for FHWA.,none
"Commenters assert that Congress specifically chose not to address GHG emissions under 23 U.S.C. 150(c), and thus FHWA lacks authority to issue this measure.",none
"Commenters also assert that since Congress addressed GHG emissions in programs like the CRP under 23 U.S.C. 175 but did not add them to the performance measures in 23 U.S.C. 150(c), Congress intended to set performance measures for some programs and not set performance measures for other programs.",none
"Response:

As described in Section III of this preamble, FHWA's authority for this measure arises under 23 U.S.C. 150(c), and FHWA's interpretation of that authority is informed in part by new changes from BIL.",none
"Additionally, FHWA did not propose—and is not finalizing—any FHWA-mandated performance targets that States would be required to meet.",none
"The BIL contains a number of programs that aim to reduce GHG emissions from transportation sources, and collection and analysis of the GHG measure can support implementation of those programs.",none
"However, FHWA did not propose, and is not finalizing, any requirements related to those programs.",none
"In addition, FHWA disagrees with the assertion that BIL does not address climate change.",none
"As discussed in this preamble, there are a number of GHG emissions-related provisions in BIL, such as those found in division A, title I, subtitle D, titled “Climate Change.” These provisions include both the CRP under 23 U.S.C. 175 and the Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) program under 23 U.S.C. 176.",none
"The FHWA recognizes that these programs do not mandate reductions in GHG emissions, and as such, FHWA 

does not assert authority over GHG emissions.",none
"However, FHWA disagrees with the commenters regarding congressional intent as related to the measurement of GHGs under 23 U.S.C. 150(c).",none
"Congress did not provide exact parameters for performance measures under 23 U.S.C. 150(c), and it did not clarify, let alone impose restrictions on, these parameters in BIL.",none
"Rather, FHWA must—based on the Agency's expertise—determine how to structure performance measures.",none
"As described in this preamble and in the preamble to the 2022 NPRM, FHWA has determined that measuring environmental performance is vital to assessing performance on the Interstate and non-Interstate NHS.",none
"In addition, FHWA disagrees with the commenters' assertion that Congress's designation of mandatory performance measures for some programs but not others prohibits FHWA from exercising Agency expertise to define performance of the Interstate and non-Interstate NHS.",none
"Although Congress did not include a specific performance measure for GHG-related programs in enacting 23 U.S.C. 150, Congress also decided not to define performance under 23 U.S.C. 150(c)(3)(A)(ii)(IV)-(V) and, in the decade since enactment of MAP-21, Congress has not qualified FHWA's authority to define performance on the NHS, even after FHWA promulgated a GHG measure in the PM3 rule.",none
"For the same reasons, FHWA also disagrees with the commenters' statements regarding legislative history of BIL and IRA, and in particular, the significance that can be attributed to GHG and environmental performance-related language not being included in the enacted legislation.",none
"By itself, congressional inaction on a subject is an unreliable indicator of legislative intent because “several equally tenable inferences may be drawn from such inaction, including the inference that the existing legislation already incorporated the offered change.” 

Pension Benefit Guaranty Corp.",none
"LTV Corp.,

496 U.S. 633, 650 (1990) (quoting 

United States

v.",none
"Wise,

370 U.S. 405, 411 (1962)) (internal quotation marks omitted).",none
"In this instance, there is no contemporaneous legislative record to explain why language relating to measuring GHG emissions with respect to performance of the NHS was not included in BIL.",none
"Moreover, BIL was passed long after the PM3 rulemaking was proposed and finalized.",none
"If anything, the fact that Congress was aware of FHWA's prior action to promulgate a GHG performance measure and did not use the opportunity in BIL to amend existing statutory language on performance measures or the definition of performance on the NHS more likely indicates that Congress intended to leave such determinations to Agency expertise to be handled via regulatory authority.",none
"Therefore, FHWA rejects the commenters' interpretation of congressional intent to restrict FHWA's authority to establish measures to assess performance of the NHS.",none
"Comment:

Commenters disagreed with FHWA's approach to supporting resilience through this measure.",none
"Commenters assert that both the NHPP under 23 U.S.C. 119 and BIL are focused on the physical condition of the highway system, and FHWA must focus on addressing physical issues with the roads, rather than CO2

emissions.",none
"Commenters assert that, likewise, resilience deals with impacts on the transportation system, rather than impacts from emissions from the transportation system.",none
"Commenters also contend that CO2

regulation is the purview of the EPA, not FHWA.",none
"Response:

The FHWA disagrees with the commenters' limited view of 23 U.S.C. 119's substantial focus on resilience and their characterization of FHWA's action to establish the GHG measure.",none
"As discussed in section III above, the NHPP is not solely focused on the physical performance of highways.",none
"For example, the requirements for State asset management plans include strategies supporting the progress toward the achievement of all national goals identified in 23 U.S.C. 150(b), including the goal to enhance the performance of the transportation system while protecting and enhancing the natural environment at 23 U.S.C. 150(b)(6).",none
"In addition, the BIL amended the requirements for asset management plans' lifecycle cost and risk management analyses so that they now must specifically take into consideration extreme weather and resilience.",none
"In explicitly stating that both the purpose of the NHPP under 23 U.S.C. 119 is to increase the resiliency of the NHS and that environmental sustainability is an express national goal of the Federal-aid highway program under 23 U.S.C. 150(b), Congress clearly spoke to the importance of addressing environmental impacts related to the transportation system.",none
"Assessing environmental performance will support State and MPO efforts to increase the resiliency of the NHS to mitigate the cost of damages from sea level rise, extreme weather events, flooding, wildfires, or other natural disasters.",none
"By addressing the performance of the transportation system related to the largest source of U.S. CO2

emissions, FHWA is implementing Congress's express direction regarding NHPP goals.",none
"Measuring environmental performance though the GHG performance measure will assist States to consider CO2

emissions from transportation in the performance management framework and help frame responses to the growing climate crisis.",none
"Reducing GHG emissions that are causing increases in temperature, sea level, extreme weather events, flooding, wildfires, and other natural disasters should then decrease the severity and impact of those conditions in the future.",none
The FHWA has applied its expertise related to the transportation system and found that mitigating the cost of damage from natural disasters also requires helping State DOTs and MPOs address the cause of those disasters.,none
"However, and as discussed above, FHWA is not regulating CO2

emissions or otherwise mandating specific reductions.",none
"Comment:

One commenter asserted that FHWA's action is a broad attempt to regulate GHGs, and Congress must speak more clearly before FHWA may assert it has authority to mandate that all of the States and Puerto Rico decrease on-road CO2

emissions in furtherance of the Administration's emissions goals.",none
"Response:

The FHWA is not mandating that States or MPOs decrease emissions or compelling States to undertake projects that reduce GHGs.",none
