"","V1","V2","V3"
"885","PLATINUM EQUITY LLC","INGEVITY CORP","16"
"886","PLATTE RIVER POWER AUTHORITY","SACRAMENTO POWER AUTHORITY","16"
"887","PLUM CREEK TIMBER CO INC","MERCK & CO INC","16"
"888","PLYMOUTH ENERGY LLC","DTE ENERGY CO","12"
"889","PM Power Group, INC","Topaz Power Group LLC","12"
"890","PMC GROUP","FMC CORP","7"
"891","PMC GROUP INC","FPL GROUP INC","4"
"892","PMC Group","TPC Group Inc","6"
"893","PNM RESOURCES INC","PNM RESOURCES INC","0"
"894","POET BIOREFINING LLC","BOEING CO","13"
"895","POET Biorefining Cloverdale","The Boeing Co","18"
"896","POET Biorefining LLC","The Boeing Co","13"
"897","POET Biorefining, LLC","The Boeing Co","14"
"898","POET DSM Project Liberty LLC","TTX Power LLC","21"
"899","POET HOLDING CO LLC","POST HOLDINGS INC","10"
"900","POET Holding CO, LLC","TGGT Holdings, LLC","10"
"901","POET Holding Co, LLC","TGGT Holdings, LLC","10"
"902","POET Holdings, LLC","TGGT Holdings, LLC","6"
"903","POET LLC","SCI LLC","7"
"904","POET LLC - Laddonia","MPLX LP","18"
"905","POET Plant Management","Waste Management","11"
"906","POET Research Center, INC.","Terves INC","20"
"907","POINT ENERGY PARTNERS","MARKWEST ENERGY PARTNERS LP","14"
"908","POLAR SEMICONDUCTOR LLC","FORD MOTOR CO","16"
"909","POLARIS COTTAGE GROVE LLC","SCI LLC","20"
"910","POLARIS ENERGY, LLC C/O TYR ENERGY, INC.","PARSLEY ENERGY INC","24"
"911","POLARIS RATHDRUM LLC","SCI LLC","17"
"912","POLARIS WHITEWATER LLC","SCI LLC","17"
"913","POLARTEC LLC","SCI LLC","9"
"914","POLK COUNTY","PPL CORP","9"
"915","POLK COUNTY BOARD OF COUNTY COMMISSIONERS","POLYONE CORP","33"
"916","POLK COUNTY TX","PPL CORP","12"
"917","POLLUTION CONTROL FINANCING AUTHORITY","JOHNSON CONTROLS INC","27"
"918","POLYONE CORP","POLYONE CORP","0"
"919","POPE/DOUGLAS JOINT SOLID WASTE MANAGEMENT BOARD","ARES MANAGEMENT CORP","35"
"920","PORT TOWNSEND PAPER CORP","GULFPORT ENERGY CORP","16"
"921","PORTLAND GENERAL ELECTRIC CO","PORTLAND GENERAL ELECTRIC CO","0"
"922","POSCO AMERICA CORP","BP AMERICA INC","10"
"923","POSCO America Corp","SCA Americas","10"
"924","POST FOODS LLC","POST HOLDINGS INC","11"
"925","POST HOLDINGS INC","POST HOLDINGS INC","0"
"926","POTASH CORP OF SASKATCHEWAN USA","POTASH CORP OF SASKATCHEWAN USA","0"
"927","POTASH HOLDING CO INC","POST HOLDINGS INC","8"
"928","POTASH HOLDING CO, INC","POST HOLDINGS INC","9"
"929","POTTERS INTERMEDIATE HOLDINGS LP","POST HOLDINGS INC","21"
"930","POWDER RIVER MIDSTREAM","DCP MIDSTREAM LP","16"
"931","POWDER RIVER MIDSTREAM LLC","ANTERO MIDSTREAM LLC","14"
"932","POWER CITY PARTNERS LP","DCP MIDSTREAM PARTNERS, LP","16"
"933","POWER HOLDING LLC","POST HOLDINGS INC","10"
"934","POWERSMITH COGENERATION","HESS CORPORATION","17"
"935","POWERSOUTH ENERGY COOPERATIVE","DEVON ENERGY CORPORATION","19"
"936","PPG INDUSTRIES INC","PPG INDUSTRIES INC","0"
"937","PPG INDUSTRIES, INC.","PPG INDUSTRIES, INC.","0"
"938","PPG Industries, Inc","PPG Industries, Inc","0"
"939","PPG Industries, Inc.","PPG Industries, Inc.","0"
"940","PPL CORP","PPL CORP","0"
"941","PPL Corp","PPL Corp","0"
"942","PPL Corporation","PPL Corporation","0"
"943","PPL Electric Utilities","PPL Electric Utilities","0"
"944","PPL Generation, LLC","General Motors, LLC","12"
"945","PPL Generation. LLC","Temple Generation I LLC","12"
"946","PPL Ironwood Holdings, LLC","TA Ada Holdings LLC","15"
"947","PPl Corporation","PPl Corporation","0"
"948","PQ CORP","EQT CORP","3"
"949","PQ Corp","PPL Corp","3"
"950","PQ Corporation","PPL Corporation","3"
"951","PQ GROUP HOLDINGS INC","POST HOLDINGS INC","8"
"952","PQ HOLDINGS INC","POST HOLDINGS INC","4"
"953","PR WASTE HOLDINGS LLC","POST HOLDINGS INC","10"
"954","PR Waste Holdings, LLC","TEP Rex Holdings, LLC","9"
"955","PRAIRIE HORIZON AGRI ENERGY LLC","SABINAL ENERGY LLC","19"
"956","PRAIRIE LAKES MUNICIPAL SOLID WASTE AUTHORITY","SALINAS VALLEY SOLID WASTE AUTHORITY","23"
"957","PRAIRIE PLANT SYSTEMS INC","CASELLA WASTE SYSTEMS INC","16"
"958","PRAIRIE POWER INC","PRAXAIR INC","10"
"959","PRAIRIE STATE ENERGY CAMPUS MANAGEMENT CO","ARES MANAGEMENT CORP","25"
"960","PRATT ENERGY LLC","DTE ENERGY CO","9"
"961","PRATT INDUSTRIES INC","PPG INDUSTRIES INC","6"
"962","PRATT INDUSTRIES USA","PPG INDUSTRIES INC","12"
"963","PRAXAIR INC","PRAXAIR INC","0"
"964","PREBLE COUNTY BOARD OF COMMISSIONERS","ALCOA CORP","30"
"965","PRECISION CASTPARTS CORP","PRECISION CASTPARTS CORP","0"
"966","PREMIER ETHANOL","PACIFIC ETHANOL","10"
"967","PREMIER GLASS USA LLC","UNIBOARD USA LLC","17"
"968","PRESIDENT & FELLOWS OF HARVARD COLLEGE","INTEL CORP","32"
"969","PRI OPERATING LLC","BOEING CO","12"
"970","PRIMARY ENERGY RECYCLING HOLDINGS LLC","PARSLEY ENERGY INC","25"
"971","PRIME WHEEL CORP","HEXCEL CORP","9"
"972","PRIMEXX OPERATING CORP","EXELON CORP","15"
"973","PRINCE GEORGE'S COUNTY DEPARTMENT OF THE ENVIRONMENTAL RESOURCE RECOVERY DIV","PIONEER NATURAL RESOURCES CO","54"
"974","PRINCE GEORGE'S COUNTY GOVERNMENT DEPARTMENT OF ENVIRONMENT WASTE MANAGEMENT DIV","GFL ENVIRONMENTAL INC","67"
"975","PRINCE GEORGE'S COUNTY GOVERNMENT DEPARTMENT OF ENVIRONMENTAL RESOURCES WASTE MANAGEMENT DIV","PIONEER NATURAL RESOURCES USA INC","69"
"976","PRINCE GEORGE'S COUNTY GOVERNMENT DEPARTMENT OF THE ENVIRONMENT RESOURCE RECOVERY DIV","PIONEER NATURAL RESOURCES CO","67"
"977","PRINCE WILLIAM COUNTY PUBLIC WORKS DEPARTMENT SOLID WASTE DIV","ILLINOIS TOOL WORKS INC","52"
"978","PRINCE WILLIAM COUNTY, PUBLIC WORKS DEPARTMENT, SOLID WASTE DIVISION","CABOT CORPORATION","55"
"979","PRINCETON UNIVERSITY","DEVON ENERGY","16"
"980","PRO-CORN, LLC","TOMPC, LLC","9"
"981","PROCTER & GAMBLE","PROCTER & GAMBLE","0"
"982","PRODUCERS MIDSTREAM II LLC","DCP MIDSTREAM LP","14"
"983","PROGRESS ENERGY INC","MGE ENERGY INC","7"
"984","PROGRESSIVE WASTE SOLUTIONS","GREIF INC","22"
"985","PROGRESSIVE WASTE SOLUTIONS LTD","KYOEI STEEL LTD","22"
"986","PROJECT HAWKEYE, LLC","TOMPC, LLC","16"
"987","PROMAN USA INC","ARCOSA INC","8"
"988","PROSPECT CAPITAL CORP","PROSPECT CAPITAL CORP","0"
"989","PROTEGE ENERGY III LLC","MGE ENERGY INC","12"
"990","PROTEIN PRODUCTS INC","PNM RESOURCES INC","13"
"991","PROVIDENCE HEALTH SYSTEM WASHINGTON INC","SAINT FRANCIS HEALTH SYSTEM INC","28"
"992","PRUET PRODUCTION CO","KRATON CO","14"
"993","PSI MIDSTREAM PARTNERS L P","DCP MIDSTREAM PARTNERS, LP","6"
"994","PSI Midstream Partners, L.P.","DCP Midstream Partners, LP","6"
"995","PUBLIC POWER GENERATION AGENCY (PPGA-WEC2)","GULFPORT ENERGY CORP","34"
"996","PUBLIC SERIVCE CO OF NEW MEXICO","PUBLIC SERIVCE CO OF NEW MEXICO","0"
"997","PUBLIC SERVICE CO OF NEW MEXICO","PUBLIC SERVICE CO OF NEW MEXICO","0"
"998","PUBLIC SERVICE ENTERPRISE GROUP INC","PUBLIC SERVICE ENTERPRISE GROUP INC","0"
"999","PUBLIC UTILITIES BOARD OF THE CITY OF BROWNSVILLE TEXAS","PUBLIC SERIVCE CO OF NEW MEXICO","44"
"1000","PUBLIC WORKS COMMISSION OF THE CITY OF FAYETTEVILLE","PUBLIC SERIVCE CO OF NEW MEXICO","44"
"1001","PUERTO RICO ELECTRIC POWER AUTHORITY","AMERICAN ELECTRIC POWER","21"
"1002","PUERTO RICO ELECTRIC POWER AUTHORITY COMMONWEALTH OF PUERTO RICO","AMERICAN ELECTRIC POWER CO INC","44"
"1003","PUERTO RICO ELECTRIC POWER AUTHORITY POWER AUTHORITY COMMONWEALTH OF PUERTO RICO","AMERICAN ELECTRIC POWER CO INC","60"
"1004","PUERTO RICO ELECTRIC POWER AUTHORITY, COMMONWEALTH OF PUERTO RICO","AMERICAN ELECTRIC POWER CO INC","45"
"1005","PUGET HOLDINGS LLC","POST HOLDINGS INC","9"
"1006","PUGET SOUND ENERGY","DEVON ENERGY","10"
"1007","PUGET SOUND ENERGY INC","MGE ENERGY INC","10"
"1008","PUGET SOUND ENERGY, INC","MGE ENERGY INC","11"
"1009","PURENERGY LLC","ENTERGY CORP","9"
"1010","PUREWEST ENERGY LLC","DTE ENERGY CO","12"
"1011","PURSUE ENERGY CORP.","DUKE ENERGY CORP","7"
"1012","PUTNAM COUNTY BOCC","3M CO","15"
"1013","PVR MIDSTREAM LLC","DCP MIDSTREAM LP","7"
"1014","PVR Midstream","DCP Midstream LP","7"
"1015","PVR Midstream LLC","DCP Midstream LP","7"
"1016","PWI INC (PAPERWORKS INDUSTRIES INC)","PPG INDUSTRIES INC","19"
"1017","PXP OFFSHORE","PPL CORP","10"
"1018","PXP Offshore","SBM Offshore","6"
"1019","PYCO INDUSTRIES INC","PPG INDUSTRIES INC","5"
"1020","PYCO Industries, Inc.","TC Industries, Inc.","4"
"1021","Pacific Coast Building Products","Quanex Building Products","17"
"1022","Pacific Coast Energy Company LP","DTE Energy Company","19"
"1023","Pacific Coast Producers","Pfizer","19"
"1024","Pacific Energy Alaska Operating LLC","Swift Energy Operating LLC","15"
"1025","Pacific Energy Alaska Operating, LLC","Swift Energy Operating, LLC","15"
"1026","Pacific Ethanol Holding Co","Pacific Ethanol Inc","11"
"1027","Pacific Ethanol Inc","Pacific Ethanol Inc","0"
"1028","Pacific Gas and Electric Company","Pacific Gas and Electric Company","0"
"1029","Pacificorp","Pfizer","8"
"1030","Packaging Corporation of America","Packaging Corporation of America","0"
"1031","Packaging Dynamics","Praxair Inc","15"
"1032","Paducah Power System","Atlantic Power","18"
"1033","Page County","Rice County","6"
"1034","Paloma Natural Gas LLC","Southern Natural Gas Co, LLC","16"
"1035","Paloma Operating Co Inc","Sem Operating Co LLC","13"
"1036","Pan Pacific Products","Par Pacific Holdings Inc","16"
"1037","PanCental CGC Holdings LLC","Rupert Holdings, LLC","16"
"1038","Panda Energy","Entergy","7"
"1039","Panda Hummel Station LLC","Styron LLC","18"
"1040","Panda Power Funds","Tenaska Power Fund LP","12"
"1041","Panda Temple Power II, LLC","TexGen Power, LLC","15"
"1042","Panda Temple Power, LLC","TexGen Power, LLC","12"
"1043","Panoche Energy Center LLC","UP Energy LLC","14"
"1044","Panther Creek Partners","OCI Partners LP","17"
"1045","Panther Creek Power Operating, LLC","Timber Creek Operating, LLC","15"
"1046","Panther Energy Co II","SM Energy Co","12"
"1047","Panther Energy Company","DTE Energy Company","10"
"1048","Panwest NCA2 Holdings LLC","TA Ada Holdings LLC","14"
"1049","PaperWorks Industries, Inc.","PPG Industries, Inc.","11"
"1050","Paperboard Parent INC","Diodes INC","17"
"1051","Par Pacific Holdings Inc","Par Pacific Holdings Inc","0"
"1052","Paradigm Energy Partners, LLC","Sanare Energy Partners, LLC","10"
"1053","Parallel Energy LP","NuStar Energy LP","10"
"1054","Paris Henry County Public Utility District","Sacramento Municipal Utility District","27"
"1055","Park Falls Industrial Management, LLC","TPG Capital Management LP","24"
"1056","Park Place Developement, Inc.","Ri-Corp. Development, Inc","18"
"1057","Park Place Development, Inc.","Ri-Corp. Development, Inc","17"
"1058","Parkchester South Condominium","The Southern Co","22"
"1059","Pasadena Water and Power","Tiverton Power","20"
"1060","Pasco County","Sampson County","6"
"1061","Passaic Valley Sewerage Commissioners","MillerCoors","28"
"1062","Patara Midstream, LLC","Antero Midstream LLC","9"
"1063","Patara Oil & Gas LLC","SHD Oil & Gas LLC","9"
"1064","Patriarch Partners LLC","St Paper LLC","14"
"1065","Patriarch Partners, LLC","St Paper LLC","15"
"1066","Patriot Coal Corporation","Materion Corporation","10"
"1067","Patriot Renewable Fuels, LLC","National Fuel Gas Co","18"
"1068","Paxton Resources","Samson Resources","6"
"1069","Peabody Energy Corporation","Peabody Energy Corporation","0"
"1070","Peabody Municipal Light Plant","Taunton Municipal Lighting Plant","13"
"1071","Peabody Southeast Mining, LLC","Southwest Energy LLC","19"
"1072","Peak Powder River Resources","Targa Resources","18"
"1073","Peaker Power","Tiverton Power","10"
"1074","Peaker Power, LLC","TexGen Power, LLC","8"
"1075","Pechanga Band of Luiseno Mission Indians","Boise Inc","33"
"1076","Peco Foods, Inc.","Tyson Foods Inc.","8"
"1077","Pedricktown Cogeneration Co. LP","Materion Corporation","23"
"1078","Pelican Refining Company, LLC","Sebastian Mining Company, LLC","12"
"1079","Pelican Renewables, LLC","Clean Harbors, LLC","17"
"1080","Pembina Pipeline CORP","Pembina Pipeline CORP","0"
"1081","Penn Virginia Corp","Penn Virginia Corp","0"
"1082","Penn Virginia Corporation","Penn Virginia Corporation","0"
"1083","PennTex Midstream Partners, LLC","Trace Midstream Partners LLC","9"
"1084","Pennsylania Grain Processing LLC","Tenawa Haven Processing LLC","15"
"1085","Pennsylvania General Energy Company LLC","Sampson Energy Company LLC","23"
"1086","Pennsylvania General Energy Company, LLC","Sampson Energy Company LLC","24"
"1087","Pennsylvania Land Resources Holding Company, LLC","Centennial Resource Production, LLC","31"
"1088","Pennsylvania State Department of Corrections","United Dairymen of Arizona","32"
"1089","Pentex Alaska Natural Gas Co., LLC","Southern Natural Gas Co, LLC","18"
"1090","Pentex, LLC","Linde LLC","8"
"1091","Peoples Natural Gas Co LLC","Southern Natural Gas Co, LLC","12"
"1092","Peoples Natural Gas Company, LLC","Northern Natural Gas Company","16"
"1093","Peoples TWP, LLC","Solae, LLC","10"
"1094","Pepco Holdings Incorporated","Corning Incorporated","13"
"1095","Pepco Holdings, Inc. (PHI)","Post Holdings, Inc.","11"
"1096","PepsiCo Inc.","Spansion Inc.","7"
"1097","PepsiCo, Inc.","Spansion Inc.","8"
"1098","Pepsico","Gevo","7"
"1099","Percussion Petroleum II, LLC","Saga Petroleum, LLC","17"
"1100","Percussion Petroleum, LLC","Saga Petroleum, LLC","14"
"1101","Perdue Farms Inc","Terves Inc","10"
"1102","Perdue Farms Inc.","One Gas Inc.","11"
"1103","Perennial Power Holdings, Inc.","Post Holdings, Inc.","15"
"1104","Performance Fibers Operations Inc","TXI Operations Inc","21"
"1105","Permian Basin Limited Partnership","Terra Energy Partners","24"
"1106","Permian Resources LLC","Roan Resources LLC","7"
"1107","Perry County Associates, LLC","Starret City Associates","17"
"1108","Perry Ridge Landfill","Surry County Landfill","15"
"1109","Perstorp Polyols","Verso Corp","14"
"1110","Peru Utilities","PPL Electric Utilities","10"
"1111","Petro Harvester Oil & Gas, LLC","Silver Creek Oil & Gas LLC","16"
"1112","Petro-Hunt, L.L.C.","Styron LLC","12"
"1113","PetroBal Omega 1, LLC","Solae, LLC","15"
"1114","PetroLegacy Energy","NextEra Energy","10"
"1115","Petrobras USA","Petrobras USA","0"
"1116","Petrologistics","Tesoro Logistics LP","11"
"1117","Pfizer","Pfizer","0"
"1118","Pfizer Inc","Pfizer Inc","0"
"1119","Pfizer Inc.","Pfizer Inc.","0"
"1120","Pfizer, Inc.","Pfizer, Inc.","0"
"1121","Philadelphia Energy Solutions LLC","Scala Energy LLC","21"
"1122","Philip T Sharples Trust","Phillips 66","18"
"1123","Philip T. Sharples Trust","Phillips 66","19"
"1124","Philips Electronics North America Corporation","Philips Electronics North America Corporation","0"
"1125","Philips Electronics North American Corp.","Philips Electronics North American Corp.","0"
"1126","Philips Holding USA Inc","Total Holdings USA Inc","11"
"1127","Philips Lighting North Ameica Corp","Philips Electronics North American Corp.","18"
"1128","Phillips 66","Phillips 66","0"
"1129","Phillips 66 Company","Phillips 66 Company","0"
"1130","Phillips 66 Sweeny Frac LLC","Phillips 66","16"
"1131","Phillips66 Company","Phillips66 Company","0"
"1132","Phoenix Cement Company (a Division of the Salt River Pima-Maricopa Indian Community)","The Salt River Pima - Maricopa Indian Community","43"
"1133","Phoenix Endicott Industrial Investors, LLC","Rexnord Industries, LLC","25"
"1134","Phoenix Global Holdings","Riesel Holdings","16"
"1135","Phoenix Paper Wickliffe LLC","UP Paper LLC","17"
"1136","Phosphate Holdings Inc","Post Holdings, Inc.","7"
"1137","Piceance Energy LLC","UP Energy LLC","8"
"1138","Pike County Fiscal Court","Rice County","17"
"1139","Pike County Fiscal Court Department of Solid Waste","San Diego County Department of Public Works","35"
"1140","Pike Sanitation Inc.","Spansion Inc.","11"
"1141","Pilkington Holdings Inc.","Post Holdings, Inc.","11"
"1142","Pilkington Holdings, Inc","Post Holdings, Inc.","11"
"1143","Pilkington Holdings, Inc.","Post Holdings, Inc.","10"
"1144","Pilkington North America, Inc.","Linde North America, Inc","12"
"1145","Pillsbury, Winthrop, Shaw, Pittman LLP","Halliburton","33"
"1146","Pima County","Rice County","6"
"1147","Pinal County","Rice County","7"
"1148","Pine Belt Solid Waste Management Authority","Three Rivers Solid Waste Management Authority","15"
"1149","Pine Lake Corn Processors, LLLP","TexGen Power, LLC","24"
"1150","Pine Run Gathering LLC","UP Energy LLC","15"
"1151","Pinelawn Power LLC","TexGen Power LLC","10"
"1152","Pinellas County Board of County Commissioners","Seminole County Board of County Commissioners","10"
"1153","Pinetree Power Fitchburg","Tiverton Power","20"
"1154","Pinnacle Ethanol LLC d/b/a Poet Biorefining - Corning","Summit Ethanol, LLC dba POET Biorefining-Leipsic","35"
"1155","Pinnacle Midstream II LLC","Antero Midstream LLC","13"
"1156","Pinnacle West Capital Corporation","Pinnacle West Capital Corporation","0"
"1157","Pinon Gathering Company, LLC","Southern Company","16"
"1158","Pinon Midstream, LLC","Enlink Midstream, LLC","7"
"1159","Pinona Holdings, Inc","Post Holdings, Inc.","7"
"1160","Pinova Holdings, Inc.","Post Holdings, Inc.","6"
"1161","Pintail Oil & Gas","Titus Oil & Gas","8"
"1162","Pioneer Natural Resources USA Inc","Pioneer Natural Resources USA Inc","0"
"1163","Pioneer Natural Resources USA, Inc.","Pioneer Natural Resources USA, Inc.","0"
"1164","Pipeco","Gevo","6"
"1165","Pipeco LLC","Linde LLC","7"
"1166","Piramal Glass USA, INC","Elanco US INC","17"
"1167","Pirlo Energy Holdings LLC","Riverstone Holdings LLC","12"
"1168","Pitt County","Rice County","6"
"1169","Pittsburgh Corning Corporation","Nucor Corporation","17"
"1170","Pittsburgh Glass Works, LLC","Rosboro LLC","22"
"1171","Pixelle Androscoggin LLC","Linde LLC","19"
"1172","Pixelle Specialty Solutions LLC","SG Solutions LLC","17"
"1173","Pixley Cogen Partners, LLC","OCI Partners LP","17"
"1174","Placid Refining Co LLC","United Refining Co","12"
"1175","Plainfield Asset Management, LLC","Waste Management","20"
"1176","Plains All American Pipeline, GP","Plains All American Pipeline, GP","0"
"1177","Plains All American Pipeline, LP","Plains All American Pipeline, LP","0"
"1178","Plains End Financing, LLC","Linde LLC","20"
"1179","Plains Exploration & Production Company","Rio Grande Exploration & Production","20"
"1180","Plains Exploration& Production Company","Rio Grande Exploration & Production","21"
"1181","Plains LPG Services","Gevo","17"
"1182","Plains Natural Gas Storage, LLC","Southern Natural Gas Co, LLC","19"
"1183","Planis Exploration & Production Company","Rio Grande Exploration & Production","20"
"1184","Platinum Equity Advisors, LLC","Clean Harbors, LLC","23"
"1185","Platte River Power Authority","Salt River Project","20"
"1186","Plum Creek Timber Company, Inc.","The Timken Company","21"
"1187","Plymouth Energy LLC","UP Energy LLC","8"
"1188","Plymouth Energy LLC.","UP Energy LLC","9"
"1189","Poet Biorefining - Leipsic","The Boeing Co","21"
"1190","Poet, LLC","Solae, LLC","5"
"1191","Point Energy Partners","Terra Energy Partners","10"
"1192","Polar Semiconductor, Inc","Triquint Semiconductor Inc","12"
"1193","Polar Semiconductor, LLC","Solae, LLC","16"
"1194","Polaris Cottage Grove, LLC","Solae, LLC","18"
"1195","Polaris Energy, LLC","UP Energy LLC","8"
"1196","Polaris Plains End Financing, LLC","Scala Energy LLC","27"
"1197","Polaris Rathdrum LLC","Solae, LLC","16"
"1198","Polaris Rathdrum, LLC","Solae, LLC","15"
"1199","Polaris Whitewater, LLC","Solae, LLC","15"
"1200","Polartec, LLC","Solae, LLC","5"
"1201","Polk County Board of Commissioners","Seminole County Board of County Commissioners","15"
"1202","Polk County Board of County Commissioners","Seminole County Board of County Commissioners","8"
"1203","Polk County, TX","Rhea County, TN","10"
"1204","Pollution Control Financing Authority","South Carolina Public Service Authority","30"
"1205","Pollution Control Financing Authority of Camden County","Solid Waste Authority of Palm Beach County","38"
"1206","PolyOne Corporation","PolyOne Corporation","0"
"1207","Port Barre Investments, LLC d/b/a Bobcat Gas Stora","Set Perc Investment LLC","37"
"1208","Port Hamilton Refining & Transportation, LLLP","Ventura Refining & Transmission","32"
"1209","Port Parre Investments, LLC d/b/a Bobcat Gas Stora","Set Perc Investment LLC","35"
"1210","Port Townsend Paper Corporation","Clearwater Paper Corporation","17"
"1211","Portland General Electric","Portland General Electric","0"
"1212","Portland General Electric Company","Portland General Electric Company","0"
"1213","Portsmouth Genco LLC","Rosboro LLC","15"
"1214","Portsmouth Genco, LLC","Rosboro LLC","16"
"1215","Post Holdings, Inc.","Post Holdings, Inc.","0"
"1216","Potash Holding Company, Inc.","Post Holdings, Inc.","13"
"1217","Potrero Hills Landfill, Inc.","T S Landfill, Inc.","14"
"1218","Potters Intermediate Holdings, LP","Post Holdings, Inc.","22"
"1219","Powder River Midstream LLC","Silverback Midstream LLC","14"
"1220","Powder River Midstream, LLC","Silverback Midstream LLC","15"
"1221","Powder river Midstream, LLC","Silverback Midstream LLC","15"
"1222","Power City Partners LP","OCI Partners LP","11"
"1223","Power Holding LLC","Rupert Holdings, LLC","9"
"1224","Power Resources Cooperative","Antero Resources Corporation","15"
"1225","PowerSmith Cogeneration","Sempra Generation","16"
"1226","PowerSouth Energy Cooperative","Rock Energy Cooperative","12"
"1227","PowerSouth Energy Cooperative, Inc.","Rock Energy Cooperative","18"
"1228","Prairie Aquatech Manufacturing, LLC","TriStream Energy, LLC","28"
"1229","Prairie Ethanol LLC dba Poet Biorefining","Summit Ethanol, LLC dba POET Biorefining-Leipsic","26"
"1230","Prairie Ethanol dba POET Biorefining - Mitchell","Summit Ethanol dba POET Biorefining - Leipsic","22"
"1231","Prairie Horizon Agri Energy, LLC","TriStream Energy, LLC","21"
"1232","Prairie Lakes Municipal Solid Waste Authority","Rivanna Solid Waste Authority","22"
"1233","Prairie Power Inc","Praxair Inc","10"
"1234","Prairie State Energy Campus Management Company","Scout Energy Management LLC","29"
"1235","Pratt Energy LLC","UP Energy LLC","5"
"1236","Pratt Industries","LSB Industries","8"
"1237","Pratt Industries LLC","Rexnord Industries LLC","10"
"1238","Pratt Industries USA","LSB Industries","12"
"1239","Praxair Inc","Praxair Inc","0"
"1240","Praxair, Inc","Praxair, Inc","0"
"1241","Praxair, Inc.","Praxair, Inc.","0"
"1242","Praxair,Inc","Praxair,Inc","0"
"1243","Preble County Board of Commissioners","Seminole County Board of County Commissioners","15"
"1244","Precision Cast Parts Corp.","Precision Cast Parts Corp.","0"
"1245","Precision Castpart Corporation","Precision Castpart Corporation","0"
"1246","Precision Castparts Corp","Precision Castparts Corp","0"
"1247","Precision Castparts Corporation","Precision Castparts Corporation","0"
"1248","Premier Ethanol","Pfizer","13"
"1249","Premier Glass USA, LLC","SemGas, LP","16"
"1250","Premier Natural Resources, LLC","Teal Natural Resources LLC","10"
"1251","Primary Energy Recycling Holdings LLC","Spur Energy Partners Holdings LLC","24"
"1252","Primary Energy Recycling Holdings, LLC","TEP Rex Holdings, LLC","23"
"1253","Primary Natural Resources III, LLC","Teal Natural Resources LLC","14"
"1254","Primary Natural Resources IV, LLC","Teal Natural Resources LLC","13"
"1255","Primary Products Ingredients Americas LLC","Tate & Lyle Ingredients Americas LLC","23"
"1256","Prime Operating Company","Stepan Company","13"
"1257","Prime Wheel Corporation","PPl Corporation","10"
"1258","Primexx Operating Corp","Sem Operating Co LLC","14"
"1259","Prince Erachem Inc","Pfizer Inc","12"
"1260","Prince George's County Government, Department of Environmental Resources, Waste Management Division","San Bernardino County - Solid Waste Management Division","72"
"1261","Prince William County, Public Works Department, Solid Waste Division","San Joaquin County Public Works Department","42"
"1262","Pro-Corn, LLC","Styron LLC","9"
"1263","Procter & Gamble","Procter & Gamble","0"
"1264","Producers Midstream II, LLC","Antero Midstream LLC","15"
"1265","Progress Energy, Inc.","WPX Energy, Inc.","9"
"1266","Progressive Waste Solutions LTD","SG Solutions LLC","23"
"1267","Progressive Waste Solutions, LTD","SG Solutions LLC","24"
"1268","Progressive Waste Solutions, LTD.","SG Solutions LLC","25"
"1269","Project Hawkeye, LLC","Solae, LLC","14"
"1270","Project Orange Associates, LLC","Roan Resources LLC","22"
"1271","Proman USA, INC","Elanco US INC","10"
"1272","Prospect Capital Corporation","Prospect Capital Corporation","0"
"1273","Protege Energy III LLC","Steward Energy II LLC","11"
"1274","Protein Products, Inc.","Mueller Water Products, Inc.","14"
"1275","Providence Health System Washington Inc","Lamb Weston Inc","30"
"1276","Pruet Production Company","Stephens Production Company","11"
"1277","Pruvient Energy Guam Investments Inc.","Sterling Energy Investments LLC","22"
"1278","Pruvient Energy Guam, Inc","Ring Energy, Inc","13"
"1279","Public Power Generation Agency (PPGA-WEC2)","Tejas Power Generation LLC","30"
"1280","Public Serivce Co of New Mexico","Public Serivce Co of New Mexico","0"
"1281","Public Service Company of New Mexico","Public Service Company of New Mexico","0"
"1282","Public Service Enterpirse Group Incorporated","Public Service Enterpirse Group Incorporated","0"
"1283","Public Service Enterprise Group","Public Service Enterprise Group","0"
"1284","Public Service Enterprise Group Incorporated","Public Service Enterprise Group Incorporated","0"
"1285","Public Service Enterprise Group, Inc","Public Service Enterprise Group, Inc","0"
"1286","Public Works Commission of the City of Fayetteville","The City of Fargo","42"
"1287","Puget Sound Energy","Devon Energy","10"
"1288","Puget Sound Energy, Inc","Ring Energy, Inc","13"
"1289","Puget Sound Sound","Textron Inc","16"
"1290","PurEnergy, LLC","UP Energy LLC","5"
"1291","PureField Ingredients LLC","Darling Ingredients Inc","18"
"1292","Pursue Energy Corporation","Duke Energy Corporation","6"
"1293","Putnam County BOCC","Summit County","13"
"1294","Putnam Couny BOCC","Summit County","14"
"1295","Q POWER LLC","DOW INC","10"
"1296","Q Power LLC","TTX Power LLC","4"
"1297","QEP Field Services Company","Deere & Company","17"
"1298","QEP Field Services, LLC","StarTex Field Services, LLC","10"
"1299","QEP Midstream Partners, LP","DCP Midstream Partners, LP","4"
"1300","QEP RESOURCES INC","QEP RESOURCES INC","0"
"1301","QEP Resources Inc","QEP Resources Inc","0"
"1302","QEP Resources, Inc.","QEP Resources, Inc.","0"
"1303","QORVO INC","QORVO INC","0"
"1304","QORVO TEXAS, LLC","QORVO INC","11"
