"PARENT COMPANIES","REPORTING YEAR","GHG QUANTITY (METRIC TONS CO2e)"
"KOCH INDUSTRIES INC (100%)",2019,795919
"KOPPERS INC (100%)",2019,25638
"KOPPERS INC (100%)",2019,48915
"KRATON CHEMICAL CO LLC (100%)",2019,45434
"LOTTE CHEMICAL USA CORP (68.83%); WESTLAKE CHEMICAL CORP (31.17%)",2019,695742
"LANXESS CORP (100%)",2019,174257
"LANXESS CORP (100%)",2019,75430
"LANXESS CORP (100%)",2019,31739
"LANXESS CORP (100%)",2019,24511
"LYONDELLBASELL INDUSTRIES INC (100%)",2019,74890
"ELI LILLY & CO MASTER TRUST FOR EMPLOYEE BENEFITS (100%)",2019,24083
"PRAXAIR INC (100%)",2019,156967
"PRAXAIR INC (100%)",2019,1656904
"LINDE GAS NORTH AMERICA LLC (100%)",2019,504258
"PRAXAIR INC (100%)",2019,79793
"PRAXAIR INC (100%)",2019,383482
"DELEK US HOLDINGS INC (100%)",2019,6641
"CONTRAN CORP (50%); VENATOR MATERIALS LLC (50%)",2019,267862
"BERKSHIRE HATHAWAY INC (100%)",2019,23209
"BERKSHIRE HATHAWAY INC (100%)",2019,33604
"BERKSHIRE HATHAWAY INC (100%)",2019,114579
"LYONDELLBASELL INDUSTRIES INC (100%)",2019,324699
"LYONDELLBASELL ACETYLS, LLC (100%)",2019,8111
"LYONDELLBASELL ACETYLS, LLC (100%)",2019,1070725
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2019,628160
"PDV AMERICA INC (100%)",2019,63318
"PRAXAIR INC (100%)",2019,23754
"LINDE GAS NORTH AMERICA LLC (100%)",2019,111758
"PRAXAIR INC (100%)",2019,911009
"PRAXAIR INC (100%)",2019,547050
"PRAXAIR INC (100%)",2019,363492
"PRAXAIR INC (100%)",2019,32321
"PRAXAIR INC (100%)",2019,596087
"PRAXAIR INC (100%)",2019,1407833
"PRAXAIR INC (100%)",2019,1004154
"LINDE GAS NORTH AMERICA LLC (100%)",2019,175659
"PRAXAIR INC (100%)",2019,29216
"MARATHON PETROLEUM CORP (100%)",2019,886277
"MALLINCKRODT LLC (100%)",2019,29058
"MARTIN MIDSTREAM PARTNERS LP (100%)",2019,18965
"MARTINEZ REFINING CO LLC (100%)",2019,715446
"MEGlobal Americas Inc (100%)",2019,63348
"MERCK & CO INC (100%)",2019,89746
"MERCK & CO INC (100%)",2019,43648
"Messer North America, Inc (100%)",2019,841
"MEXICHEM FLUOR INC (100%)",2019,53988
"MONUMENT CHEMICAL LLC (100%)",2019,58251
"MORTON SALT INC (100%)",2019,83935
"MOM HOLDING CO (100%)",2019,34459
"MARATHON PETROLEUM CORP (100%)",2019,39669
"MARATHON PETROLEUM CORP (100%)",2019,16675
"MARATHON PETROLEUM CORP (100%)",2019,565030
"MATHESON TRI-GAS INC (100%)",2019,41845
"MATHESON TRI-GAS INC (100%)",2019,431888
"MATHESON TRI-GAS INC (100%)",2019,90323
"MATHESON TRI-GAS INC (100%)",2019,95093
"MATHESON TRI-GAS INC (100%)",2019,96128
"MATHESON TRI-GAS INC (100%)",2019,66500
"MERCK & CO INC (100%)",2019,235539
"METHANEX FORTIER INC (100%)",2019,781997
"MONUMENT CHEMICAL LLC (100%)",2019,58534
"THE MOSAIC CO (100%)",2019,151650
"THE MOSAIC CO (100%)",2019,38470
"THE MOSAIC CO (100%)",2019,270380
"THE MOSAIC CO (100%)",2019,123950
"THE MOSAIC CO (100%)",2019,106511
"ARAMCO SERVICES CO (100%)",2019,961350
"HOLLYFRONTIER CORP (100%)",2019,147125
"FORTIGEN LLC (100%)",2019,54454
"CABOT CORP (100%)",2019,86414
"CABOT CORP (100%)",2019,233719
"GOVERNMENT OF ABU DHABI (88.46%); SABIC INNOVATIVE PLASTICS US LLC (11.54%)",2019,773891
"NOVARTIS CORP (100%)",2019,17754
"FIREWATER LLC (100%)",2019,590784
"RINCON LTD (100%)",2019,43497
"SHELL PETROLEUM INC (100%)",2019,148467
"ABBVIE INC (100%)",2019,67346
"NOURYON CHEMICALS LLC (100%)",2019,23128
"OCCIDENTAL PETROLEUM CORP (100%)",2019,78804
"OCCIDENTAL PETROLEUM CORP (100%)",2019,130465
"OCCIDENTAL PETROLEUM CORP (100%)",2019,35426
"OCCIDENTAL PETROLEUM CORP (100%)",2019,1884794
"OCI PARNERS LP (100%)",2019,153824
"ONEOK INC (100%)",2019,5122
"OXEA CORP (100%)",2019,346865
"OCCIDENTAL PETROLEUM CORP (100%)",2019,100708
"OCCIDENTAL PETROLEUM CORP (100%)",2019,1228964
"OCCIDENTAL PETROLEUM CORP (100%)",2019,109291
"OLIN CORP (100%)",2019,2193996
"OLIN CORP (100%)",2019,23596
"OLIN CORP (100%)",2019,19725
"OLIN CORP (100%)",2019,36484
"ORION ENGINEERED CARBONS LLC (100%)",2019,201851
"ORION ENGINEERED CARBONS LLC (100%)",2019,123744
"Bayer US Holding LP (100%)",2019,505427
"CABOT CORP (100%)",2019,121202
"TESSENDERLO GROUP INC (100%)",2019,25466
"PCS NITROGEN FERTILIZER LP (100%)",2019,1428934
"POTASH HOLDING CO INC (100%)",2019,1695111
"PCS NITROGEN FERTILIZER LP (100%)",2019,1502337
"POTASH CORP OF SASKATCHEWAN USA (100%)",2019,274065
"ARCTIC SLOPE REGIONAL CORP (100%)",2019,22674
"PFIZER INC (100%)",2019,109955
"PHILLIPS 66 (100%)",2019,328744
"PMC GROUP INC (100%)",2019,94210
"PPG INDUSTRIES INC (100%)",2019,127764
"PQ GROUP HOLDINGS INC (100%)",2019,22067
"LSB INDUSTRIES INC (100%)",2019,299259
"ENTERPRISE PRODUCTS PARTNERS LP (100%)",2019,46294
"GREENVILLE SERVICE CO INC (100%)",2019,36276
"PBF ENERGY INC (100%)",2019,6696
"PFIZER INC (100%)",2019,45352
"PHILLIPS 66 (100%)",2019,124566
"PHILLIPS 66 (100%)",2019,269001
"PHILLIPS 66 (100%)",2019,472060
"PHILLIPS 66 (100%)",2019,143204
"TATE & LYLE INGREDIENTS AMERICAS LLC (100%)",2019,31383
"THE PROCTER & GAMBLE CO (81.3%); DTE ENERGY CO (18.7%)",2019,124351
"THE PROCTER & GAMBLE CO (100%)",2019,18419
"G2X ENERGY (100%)",2019,57286
"PAR PACIFIC HOLDINGS INC (100%)",2019,104528
"RENEWABLE ENERGY GROUP INC (100%)",2019,33864
"DOW INC (100%)",2019,278637
"HUNTSMAN CORP (50%); LANXESS CORP (50%)",2019,63804
"ROUSSELOT INC (100%)",2019,43225
"DOW INC (100%)",2019,650268
"PHILLIPS 66 (100%)",2019,100368
"SAN JOAQUIN REFINING CO INC (100%)",2019,29072
"SANOFI US SERVICES INC (100%)",2019,42310
"SAVANNAH RIVER NUCLEAR SOLUTIONS LLC (100%)",2019,21694
"SC JOHNSON & SON INC (100%)",2019,26194
"SHELL PETROLEUM INC (100%)",2019,1064539
"CK TECHNOLOGIES INC (100%)",2019,643150
"SI GROUP INC (100%)",2019,82494
"SI GROUP INC (100%)",2019,55614
"JR SIMPLOT CO (100%)",2019,375669
"SNF HOLDING CO (100%)",2019,51561
"EASTMAN CHEMICAL CO (100%)",2019,30504
"SOLVAY HOLDING INC (100%)",2019,56448
"STEPAN CO (100%)",2019,31283
"SUNCOR ENERGY (USA) INC (100%)",2019,205716
"SYNGENTA CORP (100%)",2019,53886
"SASOL USA CORP (100%)",2019,59473
"SASOL USA CORP (100%)",2019,1798680
"SHELL PETROLEUM INC (100%)",2019,44057
"SHELL PETROLEUM INC (50%); SHELL PETROLEUM INC (50%)",2019,54582
"SOLVAY HOLDING INC (100%)",2019,31815
"SOLVAY HOLDING INC (100%)",2019,48662
"SPRAY PRODUCTS CORP (100%)",2019,286
"DOW INC (100%)",2019,2970876
"MARATHON PETROLEUM CORP (100%)",2019,92589
"SYMRISE INC (100%)",2019,29122
"SYMRISE INC (100%)",2019,29092
"EASTMAN CHEMICAL CO (100%)",2019,52707
"EASTMAN CHEMICAL CO (100%)",2019,66197
"CF INDUSTRIES HOLDINGS INC (100%)",2019,1098808
"MARATHON PETROLEUM CORP (100%)",2019,104368
"TETRA TECHNOLOGIES INC (100%)",2019,42773
"CELANESE CORP (100%)",2019,335465
"PBF ENERGY INC (100%)",2019,1076652
"SK CAPITAL PARTNERS LP (100%)",2019,78392
"SK CAPITAL PARTNERS LP (100%)",2019,690125
"TRADEMARK NITROGEN CORP (100%)",2019,17893
"TRECORA RESOURCES (100%)",2019,86740
"TRONOX INC (100%)",2019,381488
"THE MOSAIC CO (100%)",2019,530870
"TATE & LYLE INGREDIENTS AMERICAS LLC (100%)",2019,100481
"DOW INC (100%)",2019,44537
"DOW INC (100%)",2019,1822680
"TRAMMO INC (100%)",2019,52388
"US GOVERNMENT (%)",2019,13485
"DOW INC (100%)",2019,712336
"DOW INC (100%)",2019,89107
"Honeywell-UOP (100%)",2019,27084
"HONEYWELL INTERNATIONAL INC (100%)",2019,53376
"DAVIS MINING & MANUFACTURING INC (100%)",2019,120521
"DOW INC (100%)",2019,1268
"UNITED REFINING CO (100%)",2019,39969
"VALERO ENERGY CORP (100%)",2019,389675
"VALERO ENERGY CORP (100%)",2019,405058
"VALERO ENERGY CORP (100%)",2019,816126
"VALERO ENERGY CORP (100%)",2019,124553
"VALERO ENERGY CORP (100%)",2019,169410
"VANTAGE SPECIALTY CHEMICALS INC (100%)",2019,46781
"CF INDUSTRIES HOLDINGS INC (100%)",2019,3564163
"VALERO ENERGY CORP (100%)",2019,503122
"VEOLIA ENVIRONMENTAL SERVICES NORTH AMERICA CORP (100%)",2019,37388
"VERSUM MATERIALS INC (100%)",2019,646261
"VERTELLUS HOLDINGS LLC (100%)",2019,63624
"WR GRACE & CO (100%)",2019,21720
"WR GRACE & CO (100%)",2019,26594
"WASHINGTON MILLS GROUP INC (100%)",2019,106819
"WESTLAKE CHEMICAL CORP (100%)",2019,1034631
"WESTLAKE CHEMICAL CORP (100%)",2019,154832
"WESTLAKE CHEMICAL CORP (100%)",2019,216054
"WESTLAKE CHEMICAL CORP (100%)",2019,542681
"PHILLIPS 66 (100%)",2019,1008596
"CVR ENERGY INC (100%)",2019,10455
"AXIALL CORP (100%)",2019,76118
"WESTLAKE CHEMICAL CORP (100%)",2019,1149415
"AXIALL CORP (83%); ENTERGY CORP (17%)",2019,1719947
"PHOSPHATE HOLDINGS INC (100%)",2019,58535
"3M CO (100%)",2018,48998
"3M CO (100%)",2018,723398
"3M CO (100%)",2018,31335
"ABBVIE INC (100%)",2018,86046
"ADA CARBON SOLUTIONS LLC (100%)",2018,197307
"ADVANSIX INC (100%)",2018,995690
"GEVO (100%)",2018,37546
"AGRIUM US INC (100%)",2018,1232579
"AGRIUM US INC (100%)",2018,119949
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2018,574912
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2018,428722
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2018,257
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2018,169491
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2018,392156
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2018,376732
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2018,861882
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,704352
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,647386
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,57053
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,239563
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,656894
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,260155
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,148037
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,913955
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,49662
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,173704
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,729558
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,823796
"ALBEMARLE CORP (100%)",2018,52780
"ALBEMARLE CORP (100%)",2018,64487
"ALTIVIA PETROCHEMICALS LLC (100%)",2018,45397
"ARKEMA AMERICAS (50%); NIPPON SHOKUBAI AMERICA INDUSTRIES INC (50%)",2018,79810
"CHEVRON CORP (50%); TRINSEO (50%)",2018,721117
"AMGEN INC (100%)",2018,25065
"ARUBA INVESTMENTS INC (100%)",2018,118095
"FREEPORT MCMORAN COPPER & GOLD (50%); SOUTHWEST ENERGY (50%)",2018,549571
"ARKEMA AMERICAS (100%)",2018,51821
"ARKEMA AMERICAS (100%)",2018,80117
"ARKEMA AMERICAS (100%)",2018,1033525
"ASCEND PERFORMANCE MATERIALS LLC (100%)",2018,661603
"Tokai Carbon CB (100%)",2018,347515
"ADVANSIX INC (100%)",2018,158306
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2018,68968
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2018,738810
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,704497
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,184876
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,485048
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,2645865
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,1073525
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,751400
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,350789
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,8909
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,742359
"AIR PRODUCTS & CHEMICALS INC (100%)",2018,89826
"AIRGAS INC (100%)",2018,3111
"ALBEMARLE CORP (100%)",2018,122284
"ALCON LABORATORIES INC (100%)",2018,34130
"ASCEND PERFORMANCE MATERIALS LLC (100%)",2018,569814
"ASCEND PERFORMANCE MATERIALS LLC (100%)",2018,11584441
"B BRAUN MEDICAL US (100%)",2018,52116
"BASF CORP (100%)",2018,68882
"BASF CORP (100%)",2018,816928
"BASF CORP (100%)",2018,65185
"BASF CORP (100%)",2018,133145
"BASF CORP (100%)",2018,75975
"BASF CORP (100%)",2018,36044
"BASF CORP (100%)",2018,665143
"BASF CORP (100%)",2018,1631242
"BAYER GROUP (100%)",2018,37513
"BIOGEN IDEC INC (100%)",2018,30258
"COLUMBIAN CHEMICALS CO (100%)",2018,125603
"PHILLIPS 66 (100%)",2018,473742
"BP AMERICA INC (100%)",2018,668194
"BRISTOL-MYERS SQUIBB CO (100%)",2018,56518
"BAYER CORP (100%)",2018,74780
"Bayer CORP (100%)",2018,93120
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2018,1757240
"ORION ENGINEERED CARBONS LLC (100%)",2018,189928
"Tokai Carbon CB (100%)",2018,314540
"ORION ENGINEERED CARBONS LLC (100%)",2018,225655
"Tokai Carbon CB (100%)",2018,312311
"EMD Acquisition LLC (100%)",2018,29343
"BRISTOL-MYERS SQUIBB CO (100%)",2018,16955
"CABOT CORP (100%)",2018,412980
"CABOT CORP (100%)",2018,344710
"CALGON CARBON CORP (100%)",2018,43882
"CALUMET SPECIALTY PRODUCTS PARTNERS (100%)",2018,21585
"CALUMET SPECIALTY PRODUCTS PARTNERS (100%)",2018,15156
"CALUMET SPECIALTY PRODUCTS PARTNERS (100%)",2018,57326
"CARESTREAM HEALTH INC (100%)",2018,29048
"CF INDUSTRIES HOLDINGS INC (100%)",2018,8685862
"CF INDUSTRIES HOLDINGS INC (100%)",2018,2124413
"CF INDUSTRIES HOLDINGS INC (100%)",2018,3027856
"LYONDELLBASSELL (100%)",2018,1929213
"THE CHEMOURS CO (100%)",2018,42614
"THE CHEMOURS CO (100%)",2018,553483
"THE CHEMOURS CO (100%)",2018,660165
"THE CHEMOURS CO (100%)",2018,87005
"THE CHEMOURS CO (100%)",2018,3301538
"THE CHEMOURS CO (100%)",2018,915245
"LSB INDUSTRIES INC (100%)",2018,352181
"MERCK & CO INC (100%)",2018,22809
"CHEVRON CORP (50%); PHILLIPS 66 (50%)",2018,1207686
"CHEVRON CORP (50%); PHILLIPS 66 (50%)",2018,704607
"CHEVRON CORP (100%)",2018,1426228
"CHEVRON CORP (100%)",2018,549171
"CHS INC (100%)",2018,286729
"CHS INC (100%)",2018,332690
"Celanese CORP (100%)",2018,696689
"CVR ENERGY INC (100%)",2018,1973468
"COLUMBIAN CHEMICALS CO (100%)",2018,210573
"CONTINENTAL CARBON CO (100%)",2018,181749
"CONTINENTAL CARBON CO (100%)",2018,276691
"CONTINENTAL CARBON CO (100%)",2018,197854
"COVESTRO LLC (100%)",2018,26267
"THE CHEMOURS CO (100%)",2018,30212
"CSL BEHRING LLC (100%)",2018,46447
"CYTEC INDUSTRIES INC (100%)",2018,39447
"CALUMET SPECIALTY PRODUCTS PARTNERS (100%)",2018,111522
"THE CHEMOURS CO (100%)",2018,53011
"THE CHEMOURS CO (100%)",2018,108490
"THE CHEMOURS CO (100%)",2018,362910
"CHEMTRADE LOGISTICS (100%)",2018,30661
"CHEVRON CORP (100%)",2018,137672
"CHEVRON CORP (93.1%); CHEVRON CORP (6.9%)",2018,976038
"CHEVRON CORP (100%)",2018,2523220
"DYNO NOBEL INC (100%)",2018,406368
"CLARIANT CORP (100%)",2018,25158
"CVR ENERGY INC (100%)",2018,17878
"BASF CORP (100%)",2018,31217
"COMPASS MINERALS (100%)",2018,90697
"CSTN Holdings, Inc (100%)",2018,373901
"DOW CHEMICAL (100%)",2018,62288
"DOW CHEMICAL (100%)",2018,49494
"SABIC INNOVATIVE PLASTICS HOLDING US LP (50%); TOTAL HOLDINGS USA INC (50%)",2018,296368
"COVANCE INC (100%)",2018,22327
"Croda Inc (100%)",2018,31555
"DAIKIN AMERICA INC (100%)",2018,508385
"DOW CHEMICAL (100%)",2018,158374
"DOW CHEMICAL (100%)",2018,4380956
"DSM HOLDING CO INC (100%)",2018,54671
"E I DU PONT DE NEMOURS & CO (100%)",2018,104406
"DYNO NOBEL INC (100%)",2018,263066
"PBF ENERGY CO LLC (100%)",2018,347530
"DELTECH CORP (100%)",2018,87527
"VALERO ENERGY CORP (100%)",2018,66991
"GLENCOE CAPITAL (100%)",2018,47406
"DOW CHEMICAL (100%)",2018,39897
"E I DU PONT DE NEMOURS & CO (100%)",2018,28591
"DYNO NOBEL INC (100%)",2018,168018
"DYNO NOBEL INC (100%)",2018,913061
"BRISTOL-MYERS SQUIBB CO (100%)",2018,36744
"ECO SERVICES OPERATIONS CORP (100%)",2018,32514
"LSB INDUSTRIES INC (100%)",2018,1113482
"LSB INDUSTRIES INC (100%)",2018,159436
"ELEMENTIS WORLDWIDE (100%)",2018,146042
"EMERALD PERFORMANCE MATERIALS LLC (100%)",2018,60773
"LYONDELLBASSELL (100%)",2018,1117943
"LYONDELLBASSELL (100%)",2018,52325
"LYONDELLBASSELL (100%)",2018,448021
"LYONDELLBASSELL (100%)",2018,370828
"LYONDELLBASSELL (100%)",2018,1313230
"ERACHEM COMILOG INC (100%)",2018,37502
"SUPERIOR PLUS CORP (100%)",2018,27043
"ERGON INC (100%)",2018,116341
"ERGON INC (100%)",2018,8395
"EVONIK INDUSTRIES (100%)",2018,81408
"EVONIK INDUSTRIES (100%)",2018,33486
"EVONIK INDUSTRIES (100%)",2018,198782
"EVONIK INDUSTRIES (100%)",2018,48079
"EVONIK INDUSTRIES (100%)",2018,75841
"EVONIK INDUSTRIES (100%)",2018,40259
"EVONIK INDUSTRIES (100%)",2018,31658
"EXXONMOBIL CORP (100%)",2018,35640
"EXXONMOBIL CORP (100%)",2018,31292
"WESTLAKE CHEMICAL CORP (100%)",2018,459506
"CVR ENERGY INC (100%)",2018,822931
"EASTMAN CHEMICAL CO (100%)",2018,841116
"EASTMAN CHEMICAL CO (100%)",2018,3918032
"EASTMAN CHEMICAL CO (100%)",2018,42447
"PQ CORP (100%)",2018,39547
"KOCH INDUSTRIES INC (70.69%); SUNCOR ENERGY (USA) INC (6.07%); BEACON HEAD INVESTMENTS (USA) LTD (3.19%); DUONIX BEATRICE GENERAL PARTNERS LLC (2%); DUONIX BEATRICE LP (11.92%); GREENWAY CAPITAL LP (1.71%); SCOTT LYNN (1.57%); THOMAS L RYLEY (1.35%)",2018,33686
"ELI LILLY & CO (80%); ELANCO US INC (20%)",2018,70737
"EMERY OLEOCHEMICALS LLC (100%)",2018,184191
"EVONIK INDUSTRIES (100%)",2018,12016
"EXXONMOBIL CORP (100%)",2018,109803
"EXXONMOBIL CORP (100%)",2018,112660
"THE CHEMOURS CO (100%)",2018,209356
"FORMOSA PLASTICS CORP USA (100%)",2018,384119
"FORMOSA PLASTICS CORP USA (100%)",2018,3738177
"FRESENIUS MEDICAL CARE NORTH AMERICA (100%)",2018,68329
"INEOS Joliet US Holdco LLC (100%)",2018,102960
"KOCH INDUSTRIES INC (100%)",2018,1691806
"FUJIFILM HOLDINGS AMERICA CORP (100%)",2018,29037
"FUTUREFUEL CORP (100%)",2018,165848
"SYNGENTA CORP (100%)",2018,23882
"GENENTECH INC (100%)",2018,30884
"GLAXOSMITHKLINE (100%)",2018,22346
"THE GOODYEAR TIRE & RUBBER CO (100%)",2018,48721
"WR GRACE & CO (100%)",2018,102757
"WR GRACE & CO (100%)",2018,134749
"INEOS USA LLC (100%)",2018,370823
"GREEN VALLEY CHEMICAL CORP (100%)",2018,59072
"GLAXOSMITHKLINE (100%)",2018,8167
"BASIN ELECTRIC POWER COOPERATIVE (100%)",2018,4082336
"HOLLYFRONTIER CORP (100%)",2018,506054
"THE SINCLAIR COS (100%)",2018,296911
"HONEYWELL INTERNATIONAL INC (100%)",2018,51367
"HONEYWELL INTERNATIONAL INC (100%)",2018,7333
"HONEYWELL INTERNATIONAL INC (100%)",2018,148138
"HONEYWELL INTERNATIONAL INC (100%)",2018,536326
"HUNT CONSOLIDATED INC (100%)",2018,198309
"Huntsman Petrochemical LLC (100%)",2018,55801
"HOLLYFRONTIER CORP (100%)",2018,108726
"ICL-PPLP (ICL PERFORMANCE PRODUCTS LP) (100%)",2018,49475
"INTERNATIONAL FLAVORS & FRAGRANCES INC (100%)",2018,38374
"OCCIDENTAL PETROLEUM CORP (100%)",2018,4
"INEOS USA LLC (100%)",2018,60971
"INEOS USA LLC (100%)",2018,2288406
"INEOS Nitriles USA LLC (100%)",2018,131450
"STYROLUTION AMERICA LLC (100%)",2018,119739
"CRISTAL USA INC (100%)",2018,141916
"CRISTAL USA INC (100%)",2018,324155
"BP AMERICA INC (100%)",2018,155620
"BP AMERICA INC (100%)",2018,111146
"INGEVITY CORP (100%)",2018,23533
"INGEVITY CORP (100%)",2018,59935
"INGEVITY CORP (100%)",2018,88584
"KOCH INDUSTRIES INC (100%)",2018,1819232
"KOCH INDUSTRIES INC (100%)",2018,699998
"KOCH INDUSTRIES INC (100%)",2018,78898
"ASHLAND INC (100%)",2018,74494
"ASHLAND INC (100%)",2018,116871
"ASHLAND INC (100%)",2018,36367
"INDORAMA VENTURES INVESTMENT USA (100%)",2018,47534
"HUNTSMAN INTERNATIONAL LLC (100%)",2018,1220003
"HUNTSMAN CORP (100%)",2018,39562
"INDORAMA VENTURES HOLDINGS LP (100%)",2018,251203
"INGEVITY CORP (100%)",2018,46405
"INGEVITY CORP (100%)",2018,38408
"IOWA FERTILIZER CO LLC (100%)",2018,1684329
"Itafos Conda Holdings (100%)",2018,110314
"JR SIMPLOT CO (100%)",2018,18624
"JR SIMPLOT CO (100%)",2018,83246
"JX NIPPON CHEMICAL TEXAS INC (100%)",2018,53969
"KMCO LLC (100%)",2018,38355
"KMCO LLC (100%)",2018,21114
"KOCH INDUSTRIES INC (100%)",2018,1845963
"KOCH INDUSTRIES INC (100%)",2018,551843
"KOCH INDUSTRIES INC (100%)",2018,544740
"ARIZONA CHEMICAL CO LLC (100%)",2018,27704
"BASF CORP (100%)",2018,31122
"KOCH INDUSTRIES INC (100%)",2018,879769
"KOPPERS INC (100%)",2018,31180
"KOPPERS INC (100%)",2018,42888
"KRATON POLYMERS US LLC (100%)",2018,57322
"LANXESS CORP (100%)",2018,134910
"LANXESS CORP (100%)",2018,44105
"LANXESS CORP (100%)",2018,32263
"LANXESS CORP (100%)",2018,25773
"LYONDELLBASSELL (100%)",2018,72871
"ELI LILLY & CO (100%)",2018,24944
"PRAXAIR INC (100%)",2018,169809
"PRAXAIR INC (100%)",2018,1541080
"LINDE GAS NORTH AMERICA LLC (100%)",2018,647141
"LINDE GAS NORTH AMERICA LLC (100%)",2018,502202
"PRAXAIR INC (100%)",2018,79974
"PRAXAIR INC (100%)",2018,322093
"DELEK US HOLDINGS INC (100%)",2018,11461
"KRONOS LOUISIANA INC (50%); Venator Materials LLC (50%)",2018,262853
"BERKSHIRE HATHAWAY INC (100%)",2018,24317
"BERKSHIRE HATHAWAY INC (100%)",2018,34585
"BERKSHIRE HATHAWAY INC (100%)",2018,100826
"LYONDELLBASSELL (100%)",2018,403761
"LYONDELLBASSELL (85%); LINDE GAS NORTH AMERICA LLC (15%)",2018,2107
"LINDE GAS NORTH AMERICA LLC (100%)",2018,1437009
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2018,731322
"PDV HOLDING INC (100%)",2018,50491
"PRAXAIR INC (100%)",2018,77367
"LINDE GAS NORTH AMERICA LLC (100%)",2018,116235
"PRAXAIR INC (100%)",2018,944098
"PRAXAIR INC (100%)",2018,734571
"PRAXAIR INC (100%)",2018,34154
"PRAXAIR INC (100%)",2018,543770
"PRAXAIR INC (100%)",2018,543920
"PRAXAIR INC (100%)",2018,1302504
"PRAXAIR INC (100%)",2018,917229
"LINDE GAS NORTH AMERICA LLC (100%)",2018,168990
"PRAXAIR INC (100%)",2018,27666
"MARATHON PETROLEUM CORP (100%)",2018,916097
"MALLINCKRODT INC (100%)",2018,31997
"MARTIN MIDSTREAM PARTNERS LP (100%)",2018,18791
"SHELL OIL CO (100%)",2018,851525
"MERCK & CO INC (100%)",2018,101679
"MERCK & CO INC (100%)",2018,45237
"LINDE GAS NORTH AMERICA LLC (100%)",2018,788
"MEXICHEM FLUOR INC (100%)",2018,52979
"MONUMENT CHEMICAL (100%)",2018,57521
"MORTON SALT INC (100%)",2018,79611
"MOMENTIVE PERFORMANCE MATERIALS HOLDINGS LLC (100%)",2018,42581
"MARATHON PETROLEUM CORP (100%)",2018,41810
"Marathon Petroleum Corp (100%)",2018,15119
"TESORO CORP (100%)",2018,495221
"LINDE GAS NORTH AMERICA LLC (100%)",2018,61179
"LINDE GAS NORTH AMERICA LLC (100%)",2018,385979
"LINDE GAS NORTH AMERICA LLC (100%)",2018,93372
"LINDE GAS NORTH AMERICA LLC (100%)",2018,99085
"LINDE GAS NORTH AMERICA LLC (100%)",2018,89484
"LINDE GAS NORTH AMERICA LLC (100%)",2018,64332
"MERCK & CO INC (100%)",2018,241002
"METHANEX FORTIER INC (100%)",2018,785823
"MONUMENT CHEMICAL (100%)",2018,58548
"THE MOSAIC CO (100%)",2018,143783
"THE MOSAIC CO (100%)",2018,36726
"THE MOSAIC CO (100%)",2018,329033
"THE MOSAIC CO (100%)",2018,125248
"THE MOSAIC CO (100%)",2018,121118
"KOCH INDUSTRIES INC (100%)",2018,1038241
"HOLLYFRONTIER CORP (100%)",2018,143133
"Fortigen LLC (100%)",2018,45609
"CABOT CORP (100%)",2018,93127
"CABOT CORP (100%)",2018,229778
"AKZO NOBEL CHEMICALS INC (100%)",2018,51542
"NOVA CHEMICALS INC (88.46%); SABIC INNOVATIVE PLASTICS HOLDING US LP (11.54%)",2018,668464
"NOVARTIS US (100%)",2018,16320
"FIREWATER LLC (100%)",2018,485969
"NATURAL SODA (100%)",2018,40761
"SHELL OIL CO (100%)",2018,96145
"ABBVIE INC (100%)",2018,68458
"AKZO NOBEL CHEMICALS INC (100%)",2018,19670
