"","x"
"3175","County of Kane Division of Environmental & Water Resources"
"3176","County of Kauai"
"3177","County of Kern"
"3178","County of Lycoming"
"3179","County of Maui"
"3180","County of Monroe"
"3181","County of Montrose"
"3182","County of Orange"
"3183","County of Orange, NY"
"3184","County of Orange, OC Waste & Recycling"
"3185","County of Riverside"
"3186","County of Sacramento"
"3187","County of San Bernardino Solid Waste Management Div"
"3188","County of San Bernardino Solid Waste Management Division"
"3189","County of San Joaquin"
"3190","County of Santa Cruz, Department of Public Works"
"3191","County of Santa Cruz, Departrment of Public Works"
"3192","County of Shasta"
"3193","County of Sonoma"
"3194","County of Sonoma, Dept of Public Works"
"3195","County of Stanislaus"
"3196","County of Stanislaus, CA"
"3197","County of Wayne"
"3198","County of Whiteside"
"3199","Covance Laboratories Inc"
"3200","Covance, Inc."
"3201","Covanta Energy"
"3202","Covanta Energy Corporation"
"3203","Covanta Energy, Inc."
"3204","Covanta Holding Corp"
"3205","Covanta Holding Corporation"
"3206","Covanta Holdings"
"3207","Covanta Holdings Corp"
"3208","Covanta Holdings Corporation"
"3209","Covanta holding Corporation"
"3210","Covation Biomaterials LLC"
"3211","Cove Landfill of Bad Axe Inc"
"3212","Cove Landfill of Bad Axe Inc."
"3213","Covestro LLC"
"3214","Covey Park Energy"
"3215","Covia Holdings LLC"
"3216","Cowles Publishing Company"
"3217","Cowlitz County"
"3218","Cowtown Gas Processing Partners L.P."
"3219","Cowtown Pipeline Partners L.P."
"3220","Cox Oil Offshore, LLC"
"3221","Craighead Co. Solid Waste Disposal Authority"
"3222","Crawfish Cogen, LLC"
"3223","Crawford County Board of Commissioners"
"3224","Cree, Inc"
"3225","Crescent Pass Energy"
"3226","Crescent Pass Energy, LLC"
"3227","Crescent Point Energy U.S. Corporation"
"3228","Crestone Peak Resources LP"
"3229","Crestwood Biofuels Investors, LLC"
"3230","Cricket Valley Energy Center LLC"
"3231","Crimson Energy Partners IV, LLC"
"3232","Crisp County Board of Commissioners"
"3233","Cristal USA Inc"
"3234","Cristal USA Inc."
"3235","Crittenden County, AR"
"3236","Crockett Cogeneration A California Limited Partnership"
"3237","Crockett Cogeneration, A California Limited Partnership"
"3238","Croda Inc"
"3239","Crook County Government"
"3240","Cross Timbers Energy, LLC"
"3241","Crosstex CCNG Processing Ltd"
"3242","Crosstex CCNG Processing Ltd."
"3243","Crosstex Energy Services LP"
"3244","Crosstex LIG, LLC"
"3245","Crosstex North Texas Gathering LP"
"3246","Crosstex North Texas Gathering, LP"
"3247","Crosstex North Texas Pipeline, LP"
"3248","Crosstex Processing Services, LLC"
"3249","Crow Wing County"
"3250","Crowheart Energy LLC"
"3251","Crown Energy Partners LLC"
"3252","CrownQuest Operating, LLC"
"3253","Crownquest Operating, LLC"
"3254","Crusoe Energy Systems Inc"
"3255","Cullman Environmental"
"3256","Cumberland County Improvement Authority"
"3257","Cumberland County Solid Waste Management"
"3258","Curators of the University of Missouri"
"3259","Cureton Front Range LLC"
"3260","Cureton Midstream LLC"
"3261","Cutrale Citrus Juices USA, Inc."
"3262","Cypress Semiconductor Corporation"
"3263","Cytec Industries Inc."
"3264","D.E. Shaw Synoptic Acquisition I, LLC"
"3265","D.E. Shaw Synoptic Acquisition, LLC"
"3266","D90 RESOURCES"
"3267","D90 Resources"
"3268","DAIKIN AMERICA INC"
"3269","DAIKIN HOLDINGS AMERICA INC"
"3270","DAIMLER NA CORP"
"3271","DAIMLER NORTH AMERICA CORP"
"3272","DAIMLER TRUCKS NORTH AMERICA LLC"
"3273","DAIRY FARMERS OF AMERICA INC"
"3274","DAIRYLAND POWER COOPERATIVE"
"3275","DAK AMERICAS LLC"
"3276","DAK Americas LLC"
"3277","DAKOTA COAL CO"
"3278","DALTON-WHITFIELD REGIONAL SOLID WASTE MANAGEMENT"
"3279","DALTON-WHITFIELD REGIONAL SOLID WASTE MANAGEMENT AUTHORITY"
"3280","DANONE NORTH AMERICA PUBLIC BENEFIT CORP"
"3281","DANSKAMMER ENERGY LLC"
"3282","DARIGOLD INC"
"3283","DARLING INGREDIENTS INC"
"3284","DARLING INTERNATIONAL INC"
"3285","DART CAPITAL DCC LLC"
"3286","DART CONTAINER CORP"
"3287","DARTMOUTH POWER ASSOCIATES L P"
"3288","DAVID ALMQUIST"
"3289","DAVIDSON COUNTY INTEGRATED SOLID WASTE MANAGEMENT DEPT"
"3290","DAVIESS COUNTY"
"3291","DAVIESS COUNTY BOARD OF COMMISSIONERS"
"3292","DAVIESS COUNTY FISCAL COURT"
"3293","DAVIESS COUNTY KENTUCKY"
"3294","DAVIS GAS PROCESSING INC"
"3295","DAVIS MINING & MANUFACTURING INC"
"3296","DAY & ZIMMERMANN"
"3297","DB GOAL LINE LLC"
"3298","DB GOAL LINE, LLC"
"3299","DB Goal Line, LLC"
"3300","DCO ENERGY"
"3301","DCO ENERGY LLC"
"3302","DCO Energy"
"3303","DCP GCX PIPELINE LLC"
"3304","DCP GCX Pipeline LLC"
"3305","DCP MIDSTREAM HOLDING, LLC"
"3306","DCP MIDSTREAM LP"
"3307","DCP MIDSTREAM PARTNERS, LP"
"3308","DCP MIDSTREAM, LP"
"3309","DCP Midstream LP"
"3310","DCP Midstream Partners LP"
"3311","DCP Midstream Partners, LP"
"3312","DCP Midstream, L.P."
"3313","DCP Midstream, LP"
"3314","DCP OPERATING CO, LP"
"3315","DE MENNO-KERDOON TRADING CO"
"3316","DE SHAW & CO"
"3317","DE SHAW SYNOPTIC ACQUISITION I LLC"
"3318","DE SHAW SYNOPTIC ACQUISITION LLC"
"3319","DE SOTO PARISH POLICE JURY"
"3320","DE Shaw Synoptic Axquistion I, LLC"
"3321","DE Shaw Synotic Acquisition 1, LLC"
"3322","DE3 OPERATING LLC"
"3323","DE3 Operating LLC"
"3324","DECATUR COUNTY"
"3325","DECATUR COUNTY BOARD OF COMMISSIONERS"
"3326","DECATUR ENERGY LLC"
"3327","DECKER ENERGY"
"3328","DEER PARK REFINING LP"
"3329","DEERE & CO"
"3330","DEERFIELD PRODUCTION & REFINING INC"
"3331","DEERFIELD PRODUCTION & REFINING, INC"
"3332","DEFFENBAUGH INDUSTRIES, INC"
"3333","DEFIANCE COUNTY BOARD OF COMMISSIONERS"
"3334","DEKALB COUNTY GEORGIA"
"3335","DEKALB COUNTY PUBLIC WORKS DEPARTMENT OF SANITATIN DIV"
"3336","DEL MONTE FOODS INC"
"3337","DELAWARE COUNTY PENNSYLVANIA"
"3338","DELAWARE COUNTY SOLID WASTE AUTHORITY"
"3339","DELAWARE MUNICIPAL ELECTRIC COORPORATION"
"3340","DELAWARE SOLID WASTE AUTHORITY"
"3341","DELEK US HOLDINGS INC"
"3342","DELTA AIR LINES INC"
"3343","DELTA AIR LINES, INC"
"3344","DELTA AIR LINES, INC."
"3345","DELTA SOLID WASTE MANAGEMENT AUTHORITY"
"3346","DELTECH ACQUISITION CORP"
"3347","DELTECH CORP"
"3348","DELTECH LLC"
"3349","DEMENNO KERDOON"
"3350","DEMMER CORP"
"3351","DENBURY INC"
"3352","DENBURY RESOURCES INC"
"3353","DENBURY RESOURCES, INC"
"3354","DENCO II LLC"
"3355","DENCO II, LLC"
"3356","DENVER CITY ENERGY ASSOCIATES"
"3357","DES MOINES COUNTY REGIONAL SOLID WASTE"
"3358","DES MOINES COUNTY REGIONAL SOLID WASTE COMMISSION"
"3359","DESCHUTES COUNTY OREGON"
"3360","DESERET GENERATION & TRANSMISSION COOPERATIVE"
"3361","DESOTO PARISH POLICE JURY"
"3362","DETROIT RENEWABLE RESOURCES LLC"
"3363","DETROIT THERMAL LLC"
"3364","DEVELOPMENT AUTHORITY OF THE NORTH COUNTRY"
"3365","DEVON ENERGY"
"3366","DEVON ENERGY CORP"
"3367","DEVON ENERGY CORPORATION"
"3368","DEVON GAS SERVICES, LP"
"3369","DEVRO INC"
"3370","DGP TAURUS FIELD SERVICES LP"
"3371","DGP TAURUS FIELD SERVICES, LP"
"3372","DGP TAURUS GP HOLDING LLC"
"3373","DGP Taurus Field, Services, LP"
"3374","DIAGEO USVI"
"3375","DIAGEO USVI INC"
"3376","DIAMOND GENERATING CORP"
"3377","DIAMOND GENERATING CORPORATION"
"3378","DIAMONDBACK ENERGY"
"3379","DIAMONDBACK ENERGY INC"
"3380","DICALITE MANAGEMENT GROUP INC"
"3381","DICALITE MINERALS CORP"
"3382","DIDION MILLING INC"
"3383","DIGERONIMO AGGREGATES LLC"
"3384","DIGERONIMO AGGREGATES, LLC"
"3385","DIODES INC"
"3386","DIRECT ENERGY LP"
"3387","DISCOVERY NATURAL RESOURCES LLC"
"3388","DISTRICT ENERGY CORP"
"3389","DISTRICT ENERGY ST PAUL INC"
"3390","DIVERSIFIED GAS & OIL CORP"
"3391","DIVERSIFIED GAS & OIL PLC"
"3392","DIVIDE CREEK GATHERING SYSTEM LLC"
"3393","DJ RESOURCES LLC"
"3394","DJ Resources, LLC"
"3395","DJR ENERGY LLC"
"3396","DJR Operating LLC - San Juan Basin Oil & Gas Production"
"3397","DOERFIER DUMP LLC"
"3398","DOGWOOD POWER MANAGEMENT LLC"
"3399","DOMINION ENERGY INC"
"3400","DOMINION RESOURCES INC"
"3401","DOMTAR CORP"
"3402","DOMTAR PAPER CO, LLC"
"3403","DOUBLE C LTD"
"3404","DOUGHERTY COUNTY BOARD OF COMMISSIONERS"
"3405","DOUGLAS COUNTY"
"3406","DOUGLAS COUNTY NEBRASKA"
"3407","DOUGLAS COUNTY PUBLIC WORKS"
"3408","DOUGLAS COUNTY PUBLIC WORKS DEPARTMENT"
"3409","DOW CHEMICAL"
"3410","DOW CORNING CORP"
"3411","DOW INC"
"3412","DOYON LTD"
"3413","DPL Energy, LLC"
"3414","DRAKE CEMENT"
"3415","DRAKE CEMENT LLC"
"3416","DRT AMERICA INC"
"3417","DRT America Inc"
"3418","DRUMMOND CO INC"
"3419","DS SMITH PLC"
"3420","DSM Chemicals Holding Company, Inc."
"3421","DSM HOLDING CO INC"
"3422","DSM HOLDING CO USA INC"
"3423","DSM Holding Co USA Inc."
"3424","DSM Nutritional Products, LLC."
"3425","DSM PHARMACEUTICAL PRODUCTS"
"3426","DSM PHARMACEUTICALS INC"
"3427","DSM PHARMACEUTICALS PRODUCT"
"3428","DSM Pharmaceuticals, Inc"
"3429","DT Midstream INC"
"3430","DTE ENERGY CO"
"3431","DTE ENERGY COMPANY"
"3432","DTE Energy"
"3433","DTE Energy Co"
"3434","DTE Energy Company"
"3435","DTE Energy Services"
"3436","DTE ST PAUL LLC"
"3437","DTE St. Paul, LLC"
"3438","DUBUQUE METROPOLITAN AREA SOLID WASTE AGENCY"
"3439","DUGAN PRODUCTION CORP"
"3440","DUKE ENERGY CORP"
"3441","DUKE ENERGY MIAMI FORT LLC"
"3442","DUKE ENERGY ZIMMER LLC"
"3443","DUKE UNIVERSITY"
"3444","DUNCAN OIL PROPERTIES INC"
"3445","DUNN PAPER HOLDINGS INC"
"3446","DUNN PAPER INC"
"3447","DUONIX BEATRICE LP"
"3448","DUPONT DE NEMOURS INC"
"3449","DUPONT TEIJIN FILMS"
"3450","DUPONT TEIJIN FILMS US LIMITED PARTNERSHIP"
"3451","DUQUESNE GENERATION LLC"
"3452","DUQUESNE LIGHT CO"
"3453","DURAND GLASS MANUFACTURING CO INC"
"3454","DURANGO MIDSTREAM HOLDINGS LLC"
"3455","DURANGO MIDSTREAM LLC"
"3456","DUTCHESS COUNTY RESOURCE RECOVERY AGENCY"
"3457","DYNEGY INC"
"3458","DYNO NOBEL HOLDINGS USA INC"
"3459","DYNO NOBEL INC"
"3460","Daikin America Inc."
"3461","Daikin America, Inc"
"3462","Daimler North America Corporation"
"3463","DairiConcepts, LLC"
"3464","Dairland Power Cooperative"
"3465","Dairy Farmers of America, Inc."
"3466","Dairyland Power Cooperative"
"3467","Dakota Coal Company"
"3468","Dal-Tile Group"
"3469","Dal-Tile Inc"
"3470","Dalton-Whitfield Regional Solid Waste Management Authority"
"3471","Dane County"
"3472","Danone North America Public Benefit CORP"
"3473","Danskammer Energy, LLC"
"3474","Darling Ingredients Inc"
"3475","Darling Ingredients Inc."
"3476","Darling Ingredients, Inc"
"3477","Darling International Inc."
"3478","Dart Capital DCC LLC"
"3479","Dart Container Corporation"
"3480","Dart Container of Michigan LLC"
"3481","Dart Oil & Gas Corp"
"3482","Dartmouth Power Associates L.P."
"3483","David Almquist"
"3484","Davidson County Integrated Solid Waste Management Dept."
"3485","Daviess County Board of Commissioners"
"3486","Daviess County Fiscal Court"
"3487","Davis Gas Processing, Inc"
"3488","Day & Zimmermann"
"3489","Day-Glo Color"
"3490","Dayton Power and Light Company"
"3491","DeKalb County Public Works Department Sanitation Division"
"3492","DeKalb County Public Works Department of Sanitatin Division"
"3493","DeMenno Kerdoon"
"3494","DeSoto Parish Police Jury"
"3495","Decatur County"
"3496","Decatur County Board of Commissioners"
"3497","Deer Park Refining Limited Partnership"
"3498","Deere & Company"
"3499","Deerfield Production and Refining, Inc."
"3500","Deffenbaugh Industries, Inc."
"3501","Defiance County, Board of Commissioners"
"3502","Del Monte Corporation"
"3503","Del Monte Foods, Inc."
"3504","Delano Energy Center, LLC"
"3505","Delaware Basin Investment Group, LLC"
"3506","Delaware City Refining Company"
"3507","Delaware County Solid Waste Authority"
"3508","Delaware Municipal Electric Coorporation"
"3509","Delaware Municiple Electric Corporation"
"3510","Delaware Solid Waste Authority"
"3511","Delek US Holdings"
"3512","Delta Air Lines, Inc."
"3513","Delta House FPS, LLC"
"3514","Delta Petroleum Corporation"
"3515","Delta Solid Waste Management Authority"
"3516","Deltech Acquisition Corporation"
"3517","Deltech Monomers Bidco Holdings, LLC"
"3518","Denbury Onshore, LLC"
"3519","Denbury Resources, Inc. (2010)"
"3520","Denver City Energy Associates"
"3521","Department of Defense - US Army"
"3522","Department of Energy"
"3523","Department of Sanitation Services, City of Dallas, Texas"
"3524","Department of the Air Force"
"3525","Department of the Navy"
"3526","Des Moines County Regional Solid Waste Commission"
"3527","Deschutes County"
"3528","Deschutes County Oregon"
"3529","Deseret Generation & Transmission Cooperative"
"3530","Deseret Generation Transmission and Cooperative"
"3531","Deseret Generation and Transmission Cooperative"
"3532","Destin Pipeline Company LLC"
"3533","Detroit Renewable Energy LLC"
"3534","Detroit Renewable Resources LLC"
"3535","Detroit Thermal"
"3536","Development Authority of the North Country"
"3537","Devon Energy"
"3538","Devon Energy Corporation"
"3539","Devon Energy Production Co LP"
"3540","Devon Gas Services, L.P."
"3541","Devro, Inc."
"3542","DiGeronimo Aggregates, LLC"
"3543","Diageo USVI"
"3544","Diamond Generating CORP"
"3545","Diamond Generating Corp"
"3546","Diamond Generating Corporation"
"3547","Diamond Generation Corp"
"3548","Diamondback Energy"
"3549","Dicalite Minerals Corp"
"3550","Didion Milling Inc."
"3551","Diodes INC"
"3552","Diodes, Inc"
"3553","Direct Energy LP"
"3554","Discovery Natural Resources, LLC"
"3555","District Energy Corporation"
"3556","District Energy St. Paul"
"3557","District Energy St. Paul Inc."
"3558","Diversified Oil & Gas"
"3559","Divide Creek Gathering System LLC"
"3560","Dixie Chemical Company"
"3561","Doe Run Resources Company"
"3562","Dofasco Holdings Inc."
"3563","Dofasco Holdings Inc. [dba. ArcelorMittal Tubular Products USA Corporation]"
"3564","Dofasco Holdings LLC."
"3565","Dogwood Power Management, LLC"
"3566","Dominion Resources, Inc."
"3567","Dominion Resources, Inc.`"
"3568","Domtar Corporation"
"3569","Domtar Paper Company LLC"
"3570","Domtar Paper Company, LLC"
"3571","Domtar Paper Company, LLC."
"3572","Doswell Limited Partnership"
"3573","Double C Limited"
"3574","Dougherty County Board of Commissioners"
"3575","Douglas County Public Works"
"3576","Douglas County, Nebraska"
"3577","Dow"
"3578","Dow Chemical Company"
"3579","Dow Corning"
"3580","Dow Corning Corporation"
"3581","Doyon Properties Inc."
"3582","Doyon Utilities"
"3583","Drake Cement"
"3584","Drummond Co Inc"
"3585","Drummond Dolomite"
"3586","DuPont Teijin Films"
"3587","DuPont de Nemours, Inc"
"3588","Dubuque Metropolitan Area Solid Waste Agency"
"3589","Duferco US Investment Corp."
"3590","Dugan Production Corp"
"3591","Duke Energy Corporation"
"3592","Duke Energy Generation Services, Inc."
"3593","Duke University"
"3594","Dunn Paper Inc"
"3595","Duonix Beatrice General Partners LLC"
"3596","Duquesne Generation LLC"
"3597","Duquesne Light Company"
"3598","Duquesne University"
"3599","Durand Glass Manufacturing Company"
"3600","Durango Midstream LLC"
"3601","Durango Midstream, LLC"
"3602","Dutchess County Resource Recovery Agency"
"3603","Dynamic Offshore Resources, LLC"
"3604","Dynegy Inc"
"3605","Dynegy Inc."
"3606","Dynegy, Inc."
"3607","Dynegy, Stuart, LLC"
"3608","Dyno Nobel Inc"
"3609","Dyno Nobel Inc."
"3610","Dyno Nobel Incorporated"
"3611","E & J GALLO WINERY"
"3612","E & J Gallo Winery"
"3613","E ENERGY ADAMS LLC"
"3614","E ENERGY ADAMS, LLC"
"3615","E Energy Adams, LLC"
"3616","E I DU PONT DE NEMOURS & CO"
"3617","E I Du Pont De Nemours & Co."
"3618","E&B NATURAL RESOURCES MANAGEMENT CORP"
"3619","E&B Natural Resources"
"3620","E&J GALLO WINERY"
"3621","E&J Gallo Winery"
"3622","E&J Gallo Winery INC."
"3623","E. I duPont de Nemours and Company"
"3624","E. I. DuPont de Nemours and Company"
"3625","E. I. du Pont de Nemours & Co."
"3626","E. I. duPont de Nemours and Company"
"3627","E. Marcellus Asset Company, LLC"
"3628","E.I DuPont deNemours & Co. Inc."
"3629","E.I. DUPONT DE NEMOURS & CO INC HIGHLAND"
"3630","E.I. DUPONT DE NEMOURS AND COMPANY"
"3631","E.I. DuPont DeNemours and Company"
"3632","E.I. du Pont de Nemours and Company"
"3633","E.I. duPont Nemours and Company"
"3634","E.I. duPont de Nemours Company"
"3635","E.I. duPont de Nemours and Company"
"3636","EAGLE COUNTY GOVERNMENT"
"3637","EAGLE MATERIALS INC"
"3638","EAGLE PETROLEUM LLC"
"3639","EAGLE ROCK ENERGY PARTNERS LP"
"3640","EAGLE ROCK ENERGY PARTNERS, LP"
"3641","EAGLE ROCK FIELD SERVICES, L.P."
"3642","EAGLE ROCK FIELD SERVICES, LP"
"3643","EAGLECLAW MIDSTREAM SERVICES LLC"
"3644","EAGLERIDGE OPERATING LLC"
"3645","EARTHRISE LEGATO LLC"
"3646","EARTHSTONE ENERGY INC"
"3647","EARTHSTONE OPERATING LLC"
"3648","EAST CENTRAL SOLID WASTE COMMISSION"
"3649","EAST JORDAN IRON WORKS INC (DBA EJ USA INC )"
"3650","EAST JORDAN IRON WORKS INC (dba EJ USA, Inc.)"
"3651","EAST KANSAS AGRI-ENERGY LLC"
"3652","EAST KANSAS AGRI-ENERGY, LLC"
"3653","EAST KENTUCKY POWER COOPERATIVE"
"3654","EAST KENTUCKY POWER COOPERATIVE INC"
"3655","EAST PENN MANUFACTURING CO INC"
"3656","EAST TEXAS ELECTRIC COOPERATIVE INC"
"3657","EAST TEXAS ELECTRIC COOPERATIVE, INC"
"3658","EAST WEST COPOLYMER & RUBBER LLC"
"3659","EAST WEST COPOLYMER & RUBBER, LLC"
"3660","EASTERN LARAMIE COUNTY SOLID WASTE DISPOSAL DISTRICT"
"3661","EASTERN MICHIGAN UNIVERSITY"
"3662","EASTMAN CHEMICAL CO"
"3663","EASTMAN CHEMICAL COMPANY"
"3664","EASTMAN KODAK CO"
"3665","EAV Operator, LLC"
"3666","EB HOLDINGS II INC"
"3667","EBENSBURG POWER CO"
"3668","ECLIPSE RESOURCES CORP"
"3669","ECO BAT INDIANA, LLC"
"3670","ECO BAT NEW YORK, LLC"
"3671","ECO SERVICES OPERATIONS CORP"
"3672","ECO SERVICES OPERATIONS LLC"
"3673","ECO-BAT NORTH AMERICA"
"3674","ECO-BAT North America"
"3675","ECOELECTRICA LP"
"3676","ECOELECTRICA, LP"
"3677","ECOLOGY SOLUTIONS LLC"
"3678","ECOM ATLANTIC INC"
"3679","ECOMAINE"
"3680","ECOVYST INC"
"3681","ECP LLC"
"3682","EDDY COUNTY"
"3683","EDF Trading Resources, LLC"
"3684","EDGEBORO INC"
"3685","EDGEMARC ENERGY HOLDINGS LLC"
"3686","EDGEWATER GENERATION HOLDINGS LLC"
"3687","EDGEWATER GENERATION LLC"
"3688","EDISON INTERNATIONAL"
"3689","EDISON MISSION ENERGY CO"
"3690","EFFINGHAM COUNTY POWER LLC"
"3691","EFH CORP"
"3692","EFH Corp."
"3693","EFS MIDSTREAM LLC"
"3694","EFS Midstream LLC"
"3695","EFS-N LLC"
"3696","EGCO LINDEN II LLC"
"3697","EGCO Linden II, LLC"
"3698","EGGER WOOD PRODUCTS LLC"
"3699","EGGER Wood Products LLC"
"3700","EIF BERKSHIRE HOLDINGS LLC"
"3701","EIF BNY II LLC"
"3702","EIF BNY II, LLC"
"3703","EIF BNY LLC"
"3704","EIF BNY, LLC"
"3705","EIF Berkshire Holdings, LLC"
"3706","EIF CHANNELVIEW COGENERATION LLC"
"3707","EIF CHANNELVIEW LLC"
"3708","EIF Channelview, LLC"
"3709","EIF MORGANTOWN HOLDINGS, LLC"
"3710","EIF Mojave Holdings, LLC"
"3711","EIF Morgantown Holdings, LLC"
"3712","EIF NEC LLC"
"3713","EIF NORTHAMPTON GP LLC"
"3714","EIF NORTHAMPTON LP LLC"
"3715","EIF Northampton GP, LLC"
"3716","EIF Northampton LP, LLC"
"3717","EIF OREGON LLC"
"3718","EIF Oregon, LLC"
"3719","EIF PANOCHE LLC"
"3720","EIF PANOCHE, LLC"
"3721","EIF US Power Fund IV LP"
"3722","EIF-NEC, LLC"
"3723","EKA CHEMICALS INC"
"3724","EL CAJON ENERGY, LLC"
"3725","EL CAJON ENERGY, LP"
"3726","EL PASO CORP"
"3727","EL PASO ELECTRIC CO"
"3728","EL PASO Pipeline Partners, L.P"
"3729","EL PASO Pipeline Partners, L.P."
"3730","EL PASO RUBY HOLDING CO LLC"
"3731","ELANCO US INC"
"3732","ELECTRIC TRANSMISSION TEXAS LLC"
"3733","ELEMENT RESOURCES DE LLC"
"3734","ELEMENTIS GLOBAL LLC"
"3735","ELEMENTIS WORLDWIDE"
"3736","ELEMENTIS Worldwide"
"3737","ELEVATION RESOURCES LLC"
"3738","ELGIN ENERGY CENTER LLC"
"3739","ELI LILLY & CO"
"3740","ELI LILLY & CO MASTER TRUST FOR EMPLOYEE BENEFITS"
"3741","ELITE OCTANE LLC"
"3742","ELK PETROLEUM INC"
"3743","ELK PETROLEUM LTD"
"3744","ELK RIVER PUBLIC UTILITY DISTRICT"
"3745","ELKHART COUNTY LANDFILL"
"3746","ELLWOOD GROUP INC"
"3747","ELMWOOD PARK POWER LLC"
"3748","EMD ACQUISITION LLC"
"3749","EMD Acquisition LLC"
"3750","EMERA US HOLDINGS INC"
"3751","EMERALD LAKE CAPITAL MANAGEMENT"
"3752","EMERALD PERFORMANCE MATERIALS LLC"
"3753","EMERY OLEOCHEMICALS LLC"
"3754","EMORY UNIVERSITY"
"3755","EMPIRE ACQUISITION LLC"
"3756","ENABLE MIDSTREAM PARTNERS LP"
"3757","ENABLE MIDSTREAM PARTNERS, LP"
"3758","ENBRIDGE (US) INC"
"3759","ENBRIDGE ENERGY MANAGEMENT"
"3760","ENBRIDGE ENERGY MANAGEMENT LLC"
"3761","ENBRIDGE INC"
"3762","ENBRIDGE US INC"
"3763","ENCANA OIL & GAS (USA) INC"
"3764","ENCINO ENERGY LLC"
"3765","ENDEAVOR ENERGY RESOURCES LP"
"3766","ENDURING RESOURCES LLC"
"3767","ENDURING RESOURCES, LLC"
"3768","ENEERVEST OPERATING LLC"
"3769","ENERGEN CORP"
"3770","ENERGY CAPITOL PARTNERS LLC"
"3771","ENERGY CORP OF AMERICA"
"3772","ENERGY HARBOR CORP"
"3773","ENERGY MANAGEMENT INC"
"3774","ENERGY PARTNERS OF DELAWARE, LTD"
"3775","ENERGY SYSTEMS CO"
"3776","ENERGY TRANSFER LP"
"3777","ENERGY TRANSFER PARTNERS LP"
"3778","ENERGY TRANSFER PARTNERS, LP"
"3779","ENERGY XXI"
"3780","ENERGY XXI GOM LLC"
"3781","ENERGY XXI ONSHORE LLC"
"3782","ENERGYQUEST II LLC"
"3783","ENERPLUS RESOURCES CORP"
"3784","ENERPLUS RESOURCES USA CORP"
"3785","ENERVEST OPERATING LLC"
"3786","ENERVEST OPERATING, LLC"
"3787","ENGIE HOLDINGS INC"
"3788","ENGIE NORTH AMERICA"
"3789","ENGIE NORTH AMERICA INC"
"3790","ENGIE North America"
"3791","ENGIE North America Inc"
"3792","ENI PETROLEUM CO INC"
"3793","ENI PETROLEUM US LLC"
"3794","ENI US OPERATING CO INC"
"3795","ENI US Operating Co Inc"
"3796","ENID OKLAHOMA"
"3797","ENKEI AMERICA INC"
"3798","ENKEI AMERICA, INC"
"3799","ENLINK MIDSTREAM LLC"
"3800","ENOGEX HOLDINGS LLC"
"3801","ENPOWER CORP"
"3802","ENRIDGE INC"
"3803","ENSIGHT IV ENERGY MANAGEMENT LLC"
"3804","ENSIGN NATURAL RESOURCES LLC"
"3805","ENTEGRA POWER GROUP"
"3806","ENTEK INTERNATIONAL LLC"
"3807","ENTEK International, LLC"
"3808","ENTERGY CORP"
"3809","ENTERGY TEXAS INC"
"3810","ENTERGY TEXAS, INC"
"3811","ENTERPRISE GAS PROCESSING LLC"
"3812","ENTERPRISE LLC"
"3813","ENTERPRISE PRODUCTS PARTNERS LP"
"3814","ENTERPRISE PRODUCTS PARTNERS, LP"
"3815","ENVEN ENERGY CORP"
"3816","ENVEN ENERGY VENTURES LLC"
"3817","ENVIRO SOLUTIONS INC"
"3818","ENVIRONMENTAL LOGISTICS SERVICES, LLC"
"3819","EOG RESOURCES INC"
"3820","EOG RESOURCES, INC"
"3821","EOG Resources, Inc."
"3822","EOG Y Resources Inc"
"3823","EOR ENERGY SERVICES LLC"
"3824","EOR Energy Services, LLC"
"3825","EP ENERGY CORP"
"3826","EP ENERGY E&P CO LP"
"3827","EP Energy E&P Company, LP"
"3828","EP MANAGEMENT CORP"
"3829","EP Management Corporation"
"3830","EP RUBY LLC"
"3831","EPD HOLDINGS INC"
"3832","EPD HOLDINGS LLC"
"3833","EPIC MIDSTREAM LLC"
"3834","EPL OIL & GAS, INC."
"3835","EQ - THE ENVIRONMENTAL QUALITY CO"
"3836","EQ - The Environmental Quality Company"
"3837","EQT CHAP, LLC"
"3838","EQT CORP"
"3839","EQUAL ENERGY"
"3840","EQUILON ENTERPRISES LLC DBA SHELL OIL PRODUCTS US"
"3841","EQUINOR GULF OF MEXICO LLC"
"3842","EQUINOR US HOLDINGS INC"
"3843","EQUIPOWER RESOURCES CORP"
"3844","EQUITRANS MIDSTREAM CORP"
"3845","EQUITY CHARTER MUNICIPALITIES"
"3846","ERACHEM COMILOG INC"
"3847","ERAMET MARIETTA INC"
"3848","ERCO (US) HOLDINGS INC"
"3849","ERCO (US) Holdings Inc"
"3850","ERG RESOURCES LLC"
"3851","ERG Resources, LLC"
"3852","ERGON INC"
"3853","ERIE COKE CORP"
"3854","ERIE COUNTY BOARD OF COMMISSIONERS"
"3855","ERP COMPLIANT FUELS LLC"
"3856","ERVING INDUSTRIES INC"
"3857","ERVING INDUSTRIES, INC."
"3858","ESCAMBIA ASSET CO LLC"
"3859","ESCAMBIA COUNTY BOARD OF COUNTY COMMISSIONERS"
"3860","ESCAMBIA COUNTY ENVIRONMENTAL CORP"
"3861","ESCAMBIA OPERATING COMPANY, LLC"
"3862","ESCONDIDO ENERGY CENTER, LLC"
"3863","ESCONDIDO RESOURCES II MANAGEMENT LLC"
"3864","ESSENTIAL POWER LLC"
"3865","ESSENTIAL UTILITIES INC"
